,제목,장르,작가,조회수,댓글,연재수,연재 시작일,최신 연재일,평점
401,"연기 천재, TOP 아이돌!",현대판타지,한결,"3,424.8만",전체 5.3만,전체 700,20.10.10,24.05.24,9.9
402,천재 아이돌이 회사를 탈주함,현대판타지,나담,8.6만,전체 142,전체 68,24.06.08,24.06.26,9.8
403,인생 2회차 아이돌의 럭키플랜,현대판타지,페이퍼컴퍼니,"1,199만",전체 2만,전체 642,22.05.27,24.06.26,9.9
404,천재 아이돌의 연예계 공략법,현대판타지,청도복숭아,"5,134.1만",전체 10.7만,전체 433,21.02.01,23.07.17,10.0
405,세계 제일 부자는 백수,현대판타지,소보로설,68.4만,전체 367,전체 250,24.04.05,24.04.05,9.7
406,집나간 무당이 야구를 잘함,현대판타지,사딸라,32.4만,전체 441,전체 146,24.04.09,24.06.26,8.8
407,닥터 최태수 [단행본],현대판타지,조석호,152.6만,전체 172,전체 135,19.11.21,19.11.21,10.0
408,오늘은 출근,현대판타지,이해날,598.1만,"전체 4,125",전체 291,17.04.25,17.08.15,9.5
409,회귀 후 메이저리거,현대판타지,예성,461.4만,"전체 1,592",전체 340,23.02.25,23.08.08,9.6
410,회귀자의 슬기로운 투자생활,현대판타지,텀블러,38만,전체 99,전체 318,23.09.06,23.09.06,9.3
411,어게인 마이 라이프,현대판타지,이해날,"6,865.2만",전체 4.2만,전체 507,17.11.10,17.06.28,9.8
412,회귀자의 증권사 생활,현대판타지,유재무,"2,010만",전체 1.5만,전체 678,22.02.06,24.02.07,9.6
413,리셋을 다 쓴 아이돌입니다만,현대판타지,담천운,543.7만,"전체 8,688",전체 515,22.11.09,24.06.26,9.9
414,미래 문자로 재벌이 되었다,현대판타지,S수미르,17.9만,전체 24,전체 243,24.02.16,24.06.26,9.9
415,만렙요원 : 재벌이 되다,현대판타지,준강,65.4만,전체 446,전체 370,23.05.10,24.01.23,9.7
416,내 이름은 코리아 스나이퍼,현대판타지,조가치,448.3만,"전체 1,971",전체 651,21.01.26,22.02.08,9.1
417,깜빵에서 레벨업하는 침술명의,현대판타지,가프,19.3만,전체 82,전체 213,24.04.03,24.04.12,10.0
418,형사의 게임,현대판타지,무장,"2,337.8만",전체 2.4만,전체 252,16.08.03,17.04.11,10.0
419,역대급 스피드의 축구천재,현대판타지,얼음강철,84.4만,전체 464,전체 216,24.02.27,24.06.26,9.0
420,후회 안 하는 회장님,현대판타지,전장범,17.2만,전체 29,전체 199,24.04.03,24.06.07,9.8
421,내 새끼 데뷔시키려다 내가 데뷔하게 생김,현대판타지,바삭튀잉,877만,전체 1.8만,전체 395,23.05.19,24.06.26,10.0
422,잇츠 마이 라이프,현대판타지,초촌,171.8만,"전체 2,278",전체 325,21.08.06,22.01.02,9.1
423,사라진 아역 배우가 돌아왔다,현대판타지,피제이,79.2만,전체 931,전체 286,23.10.11,23.11.27,10.0
424,필드의 외계인,현대판타지,에에에,"1,039.1만","전체 4,005",전체 404,22.08.01,23.07.26,9.3
425,일식이가 간다,현대판타지,이후,701.5만,"전체 7,544","전체 1,797",13.10.28,24.06.27,9.3
426,천재로 돌아왔다,현대판타지,강선우,335.3만,"전체 2,028",전체 868,22.06.03,24.06.26,8.7
427,게임 폐인의 리셋 라이프,현대판타지,한길,"3,152.6만",전체 1.6만,전체 425,19.01.22,20.02.07,9.7
428,전신의 강림,현대판타지,요삼,"1,951.2만",전체 1.5만,전체 699,17.06.09,23.11.21,9.9
429,내 회귀에 빌런은 없다,현대판타지,1인5역,37.5만,전체 99,전체 202,24.03.18,24.06.25,9.9
430,미국 재벌가 천재 사생아,현대판타지,서야(書夜),74.9만,전체 307,전체 221,24.02.26,24.05.09,9.9
431,늑대전설,현대판타지,K.석우,"1,819.8만",전체 1.9만,"전체 1,156",14.11.08,16.11.15,4.5
432,"인생, 다시 한 번!",현대판타지,어진용,"3,921.4만",전체 3.5만,"전체 1,229",18.08.07,19.08.03,9.8
433,버림받은 축구천재,현대판타지,원지오,13.6만,전체 26,전체 119,24.04.19,24.06.11,9.4
434,망나니 투자자가 힐링캠프를 한다,현대판타지,글드림,1.8만,전체 0,전체 172,24.06.24,24.06.26,9.9
435,졸부집 망나니[개정판],현대판타지,백범(白帆),580.8만,"전체 2,019",전체 450,19.05.27,24.02.29,8.9
436,패스 마스터,현대판타지,조가치,447.6만,"전체 1,872",전체 475,22.12.05,24.05.10,8.8
437,사람답게 살자,현대판타지,김대건,"2,095.1만","전체 7,281",전체 333,17.07.30,17.11.20,9.7
438,터치 다운,현대판타지,장대수,340.3만,"전체 1,848",전체 300,16.03.16,16.03.16,9.4
439,국회의원 이성윤,현대판타지,이해날,910.3만,"전체 4,027",전체 300,19.05.17,19.06.30,9.6
440,그라운드의 지배자,현대판타지,무장,"2,908.4만",전체 2.8만,전체 262,15.11.01,16.05.30,9.9
441,메디컬 탑 써전,현대판타지,뫼달,51.6만,전체 510,전체 305,22.08.12,22.08.12,9.9
442,기적의 환생,현대판타지,박선우,272.1만,"전체 1,272",전체 308,22.03.30,22.03.30,9.5
443,닥터 프랑켄슈타인,현대판타지,경우勁雨,287.3만,"전체 2,405",전체 230,21.06.03,21.08.25,9.5
444,재벌가 빌런이 되었다,현대판타지,한유림,15.9만,전체 9,전체 290,24.02.29,24.02.29,9.2
445,"글로벌 벼락부자, 역대급 깽판을 치다! [완결]",현대판타지,제임스.K,126.4만,전체 832,전체 225,20.01.16,20.01.16,8.8
446,방출되고 재능폭발,현대판타지,예성,221.4만,전체 870,전체 437,23.09.18,24.06.04,9.2
447,1991 재벌 매니지먼트,현대판타지,서야(書夜),67.4만,전체 281,전체 200,22.05.20,22.09.25,8.7
448,귀신 보는 배우님,현대판타지,리안하르트,683만,"전체 6,833",전체 570,22.05.16,23.10.13,9.9
449,퇴사 후 투자 대박,현대판타지,버들마루,17.8만,전체 13,전체 166,24.02.14,24.06.26,9.3
450,옆집 월클이 축구 재능을 갖다줌,현대판타지,핫식스,4.9만,전체 69,전체 183,24.06.19,24.06.26,10.0
451,신이 내린 투자 천재,현대판타지,해달벗,82.6만,전체 242,전체 236,24.02.09,24.03.22,10.0
452,왕따 그만두고 천재합니다,현대판타지,자론상이,14.2만,전체 31,전체 221,24.06.10,24.06.20,9.9
453,기프티드 (GIFTED),현대판타지,도서관식객,597.9만,"전체 4,664",전체 386,19.04.03,20.10.19,9.6
454,이혼 후 귀농했더니 손만 대면 터짐,현대판타지,으끄으끄,52.6만,전체 364,전체 146,24.04.09,24.06.26,9.0
455,무한전생-더 빌런,현대판타지,광악,434.3만,"전체 7,408",전체 368,21.12.06,23.06.26,9.6
456,메디컬 환생,현대판타지,유인(流人),"2,980.4만",전체 1.5만,전체 151,14.10.20,15.03.30,9.7
457,의술의 신,현대판타지,태윤,"1,588.6만","전체 5,676",전체 269,16.02.05,16.11.11,9.6
458,작곡의 신이 되었다 [개정판],현대판타지,에레스,248.8만,"전체 1,097",전체 302,22.09.07,23.02.13,9.7
459,"재벌집 서자, 그레이트 어게인",현대판타지,굿라이버,196.3만,전체 795,전체 285,20.02.12,21.01.19,9.3
460,전직 사단장이 러일전쟁을 캐리함,현대판타지,꿈사학도,17.4만,전체 141,전체 320,24.01.05,24.06.27,9.5
461,천재 미대생은 다빈치의 제자!,현대판타지,글GPT,30만,전체 108,전체 168,24.03.07,24.06.26,9.3
462,100마일,현대판타지,독고진,978.8만,"전체 7,521",전체 416,21.04.14,21.12.20,9.6
463,재벌녀의 두 번째 남편,현대판타지,악중선,26.6만,전체 21,전체 337,24.02.28,24.03.09,9.3
464,재벌 위의 재벌,현대판타지,보랑빛노을,54.7만,전체 61,전체 250,22.08.31,22.08.31,9.6
465,즐거운 아포칼립스 생활,현대판타지,눌프,112.9만,"전체 1,162",전체 250,20.08.12,20.12.12,9.4
466,재벌가 막둥이는 만능천재,현대판타지,백범(白帆),415.6만,"전체 1,222",전체 300,21.09.10,22.04.13,8.9
467,"무한 자본, 내 맘대로 세상 만들기",현대판타지,S수미르,36.5만,전체 117,전체 251,23.09.18,23.09.18,9.7
468,세자 저하 아이돌하신다,현대판타지,찹쌀공자,491.7만,"전체 4,834",전체 404,23.02.20,24.04.03,9.9
469,귀신 찍는 PD님,현대판타지,차우렌즈,49.1만,전체 627,전체 233,24.02.01,24.06.26,9.8
470,19금,현대판타지,19금,19금,19금,19금,19금,19금,19금
471,재벌을 넘어 귀족으로 [완결],현대판타지,푸달,93.8만,전체 463,전체 200,20.04.16,20.04.16,9.1
472,나는 이렇게 재벌이 되었다,현대판타지,푸달,157.3만,전체 694,전체 589,23.05.25,24.05.09,9.8
473,천재 아역 배우의 매니저가 되었다,현대판타지,박굘,69만,전체 686,전체 201,24.02.27,24.06.26,9.4
474,은퇴한 S급 용병의 회귀생활,현대판타지,꾼밤,157.3만,전체 330,전체 323,22.09.29,22.12.22,9.1
475,금수저 생활백서 [단행본],현대판타지,강동호,2만,전체 0,전체 28,24.05.08,24.06.13,7.8
476,골린이는 역대급,현대판타지,손장금,2만,전체 1,전체 164,24.06.17,24.06.26,10.0
477,과거에서 재능이 쏟아져,현대판타지,달까기,625.1만,"전체 4,437",전체 444,20.09.04,22.01.21,9.3
478,패션 디자이너의 마법 노트,현대판타지,정따블,49만,전체 623,전체 200,22.08.18,23.01.20,9.4
479,천재 유학생이 되었다,현대판타지,용린龍鱗,267.9만,"전체 1,464",전체 191,21.03.26,22.03.28,9.4
480,증권 재벌의 천재 손자가 되었다,현대판타지,번파,110.1만,전체 495,전체 477,22.05.31,22.12.31,9.7
481,기억을 듣는 회사원,현대판타지,파뱅이,240만,"전체 1,362",전체 224,20.08.27,21.01.22,9.7
482,음악의 신들과 함께한다,현대판타지,이한성,"2,210만",전체 2.8만,전체 450,19.06.05,21.12.20,9.7
483,영단 먹고 예지를 얻다,현대판타지,새둥이,54.4만,전체 81,전체 204,23.11.27,24.02.09,9.5
484,코드네임 사신,현대판타지,준강,22.7만,전체 91,전체 268,23.03.27,23.03.27,9.0
485,미국 로또로 역대급 재벌!,현대판타지,강바기,173.5만,"전체 1,140",전체 250,22.10.14,23.05.16,9.6
486,1988 레트로 게임 재벌,현대판타지,Guybrush,"2,478",전체 0,전체 161,24.06.26,24.06.26,10.0
487,100조로 갑질하기,현대판타지,S수미르,178.2만,전체 705,전체 309,21.12.01,22.01.30,9.4
488,재벌집 망나니의 역습,현대판타지,흑곰,32.3만,전체 31,전체 225,22.12.04,22.12.04,9.3
489,폭발 직전의 형사 [완결],현대판타지,달리카,8.7만,전체 30,전체 178,21.07.23,21.07.25,9.9
490,재벌 떡잎 줍는 천재투자가,현대판타지,흠박,34만,전체 51,전체 360,24.04.26,24.05.05,9.6
491,재벌 말고 사람 되렵니다,현대판타지,루살카,"1,001.6만","전체 3,378",전체 224,17.08.09,17.11.16,9.5
492,순직한 군인은 음악이 하고 싶다,현대판타지,회색곰탱,2.1만,전체 63,전체 91,24.06.05,24.06.26,9.9
493,축구재능 다 내꺼,현대판타지,핫식스,316.8만,"전체 1,186",전체 376,21.11.01,21.11.01,8.8
494,재벌 3세는 조용히 살고 싶다,현대판타지,SSDHDD,487.2만,"전체 2,673","전체 1,583",20.09.16,24.06.26,5.4
495,여배우는 회귀 PD를 좋아해!,현대판타지,요람,78.7만,전체 937,전체 395,23.09.25,24.06.26,9.8
496,20년만에 괴물 배우로 복귀했습니다,현대판타지,유현s,8.5만,전체 31,전체 156,24.03.15,24.03.25,9.8
497,꼬마 셰프 김한수,현대판타지,김여곰,327.5만,"전체 5,699",전체 311,20.12.22,21.09.27,9.8
498,이혼하고 탄탄대로,현대판타지,우월한인간,35.5만,전체 52,전체 200,22.10.21,22.10.21,6.5
499,영구결번 [완결],현대판타지,마인네스,41.2만,전체 500,전체 216,19.03.12,19.03.19,9.6
500,돈걱정 없는 현대 마법사,현대판타지,앗싸이다,11만,전체 22,전체 176,24.04.08,24.06.08,7.4
501,코드네임 하백,현대판타지,유나파파,37.1만,전체 59,전체 371,23.08.15,23.08.15,9.5
502,현대수선전,현대판타지,오렌,7.7만,전체 18,전체 300,24.05.30,24.06.09,6.9
503,전직 요원이 종말에 대처하는 자세,현대판타지,미스터쿼카,13.6만,전체 152,전체 128,24.04.19,24.06.26,9.3
504,회귀자의 로열라이프 [완결],현대판타지,한얼23,122.7만,전체 529,전체 402,20.06.26,21.01.18,9.8
505,광산 찍고 건설 재벌,현대판타지,오소록,151.2만,전체 986,전체 230,20.06.19,20.08.28,9.1
506,운빨로 탑스타,현대판타지,이한이,14만,전체 159,전체 200,22.11.25,22.11.25,9.9
507,덕질하던 내가 천재보컬이었다,현대판타지,에레스,6.1만,전체 22,전체 208,24.05.09,24.05.18,9.4
508,유령이라 불리는 저격수,현대판타지,버저비터,187.8만,전체 742,전체 335,20.07.03,20.07.03,9.4
509,의사가 회귀를 숨김 [완결],현대판타지,글쓰는레옹,108.4만,전체 320,전체 175,21.10.06,21.10.10,9.5
510,각성했는데 모기들의 천적,현대판타지,오렌,35만,전체 74,전체 232,23.05.04,23.05.14,9.5
511,회사 때려치우고 카페 합니다,현대판타지,펩티드,347.1만,"전체 1,623",전체 337,24.01.19,24.06.26,9.9
512,아포칼립스에 내 땅 30평부터 시작,현대판타지,가시개미,10.9만,전체 77,전체 137,24.01.19,24.01.29,9.0
513,이혼 후 파이어볼러 [완결],현대판타지,로웰크란,21.3만,전체 23,전체 200,22.09.30,22.11.29,7.7
514,이혼 전 무한 캐시백 당첨,현대판타지,닥훈,32만,전체 76,전체 323,24.03.20,24.03.30,9.6
515,특급 경찰로 회귀하다 [완결],현대판타지,권맥스,49.1만,전체 363,전체 175,21.03.25,21.03.25,9.3
516,게으른 축구천재가 대뜸 노력함,현대판타지,아로와나,6.8만,전체 17,전체 205,24.01.19,24.03.13,9.6
517,주인공 갑질만세!,현대판타지,군만두먹자,568.9만,"전체 3,930",전체 250,18.12.14,19.02.23,9.1
518,어플마스터 [완결],현대판타지,허바,15만,전체 90,전체 200,21.05.12,21.07.14,9.1
519,인생 리셋 오 대위!,현대판타지,세상S,59.1만,전체 235,전체 437,23.01.05,24.06.26,9.2
520,필드의 고인물 [완결],현대판타지,이블라인,653.8만,"전체 6,790",전체 465,19.10.10,20.10.07,9.6
521,"톱스타, 그 자체",현대판타지,서홍,"1,212만","전체 6,756",전체 331,18.04.16,18.12.24,9.8
522,타자 노림수가 다 보임,현대판타지,유리몸,5.3만,전체 1,전체 175,24.05.17,24.05.27,10.0
523,마스터는 극한직업,현대판타지,임준후,763.5만,"전체 8,055",전체 404,19.03.15,20.01.25,9.2
524,재벌이 된 천재 과학자,현대판타지,새가람,107.5만,전체 286,전체 207,21.12.03,21.12.03,8.6
525,회귀한 영웅은 호구가 싫다 [연재],현대판타지,포기하지마,17.7만,전체 48,전체 200,22.09.22,23.01.09,7.8
526,행성개발로 세계정복,현대판타지,아몬드리치,5.8만,전체 10,전체 175,24.04.22,24.06.17,8.8
527,빠르거나 혹은 느리거나,현대판타지,두경,92만,전체 691,전체 300,15.11.02,16.02.09,7.7
528,나는 재벌집 청소부,현대판타지,버저비터,3.6만,전체 4,전체 250,24.02.26,24.02.26,9.2
529,4회차는 명전이다,현대판타지,정사부,18.9만,전체 41,전체 425,23.04.21,24.02.07,8.6
530,필드의 회귀자,현대판타지,글상사,5.7만,전체 7,전체 200,24.03.12,24.03.12,8.7
531,천재 매니저는 성지순례중,현대판타지,Standy,315.1만,"전체 3,990",전체 301,20.07.14,21.02.13,9.3
532,나는 신화다,현대판타지,Otello,164만,전체 804,전체 195,17.05.23,17.05.23,8.6
533,이혼 후 재벌 각성!,현대판타지,백범(白帆),342.8만,전체 958,전체 220,22.02.11,22.06.03,8.6
534,알겠습니다 마스터,현대판타지,생사람,24.7만,전체 60,전체 282,23.11.16,24.02.02,9.8
535,돈 쓸어담는 재벌가 서자 [완결],현대판타지,토윤,43.4만,전체 122,전체 200,21.12.16,22.01.10,8.6
536,빌런의 경제학 [완결],현대판타지,드림보트,155.6만,"전체 1,092",전체 247,21.07.01,21.09.10,9.2
537,리얼 머니,현대판타지,진문,28만,전체 36,전체 222,21.01.26,21.01.26,9.5
538,재벌가 늦둥이 [완결],현대판타지,런치,107.4만,전체 204,전체 201,21.07.13,21.07.17,9.1
539,회귀해서 천재 PD,현대판타지,조도모,3만,전체 30,전체 64,24.06.12,24.06.26,9.1
540,1회차 행성 파괴자 [완결],현대판타지,밀괴,4.5만,전체 10,전체 111,20.07.16,20.07.21,8.2
541,내 동생은 연기 천재!,현대판타지,신림서점,1.7만,전체 23,전체 46,24.06.21,24.06.27,10.0
542,인공지능이 나보고 재벌이 되라고 한다,현대판타지,리비에르,32만,전체 120,전체 308,22.07.08,23.09.18,9.4
543,돈의 신 [완결],현대판타지,SOKIN,58.2만,전체 188,전체 203,19.01.14,19.01.23,7.5
544,천재작가는 고등학생이 되었다 [완결],현대판타지,먹고땡,29.1만,전체 229,전체 168,22.08.05,22.08.15,9.8
545,마운드의 금강불괴,현대판타지,윤준모,115만,전체 389,전체 240,21.04.09,21.08.23,9.2
546,발롱도르 타는 역대급 미드필더의 탄생 [완결],현대판타지,고다아바,30.7만,전체 57,전체 176,20.08.11,21.02.18,9.8
547,재벌가 환생 검사 [완결],현대판타지,청파.,61.9만,전체 210,전체 234,21.11.30,22.03.07,9.2
548,강남 큰손 이야기 [완결],현대판타지,악중선,76.6만,전체 732,전체 500,19.05.20,19.06.02,9.7
549,다시 쓰는 천재사,현대판타지,287000,45.3만,전체 223,전체 186,21.08.25,21.08.25,9.0
550,음공 아이돌,현대판타지,외지,18.1만,전체 168,전체 251,22.05.11,22.05.11,9.8
551,전생이 셰익스피어였다 [연재],현대판타지,글밥,13.5만,전체 206,전체 203,22.09.02,22.09.12,9.8
552,침술 끝판왕 읍내 한의사,현대판타지,햄버그,90.3만,전체 481,전체 170,23.05.12,23.05.12,9.8
553,농사짓는 드루이드,현대판타지,가온하루,20.1만,전체 87,전체 187,24.03.19,24.06.26,9.6
554,아빠는 축구를 너무 잘해!,현대판타지,강로이,60.6만,전체 282,전체 200,23.02.16,23.05.01,9.0
555,이과장 생존기,현대판타지,불량집사,49.1만,전체 334,전체 300,21.07.12,21.07.12,9.7
556,초전도체로 세계재벌,현대판타지,종이노트,27.6만,전체 48,전체 250,24.04.12,24.04.12,9.6
557,격동의 신대한제국,현대판타지,김도형,118만,"전체 1,075",전체 204,19.08.28,19.12.30,9.2
558,회귀해서 재계 1위,현대판타지,텀블러,387.2만,"전체 1,124",전체 462,19.02.18,20.01.31,9.2
559,재벌가에 천재가 입양 되었다,현대판타지,꿈가득남,105.4만,전체 659,전체 201,23.03.31,23.03.31,9.1
560,마운드의 폭군이 되었다,현대판타지,량주,7.9만,전체 3,전체 200,24.01.25,24.02.04,10.0
561,필멸자들,현대판타지,후두마루,697.6만,"전체 4,839",전체 410,20.07.15,21.09.29,9.5
562,영업왕 관상가,현대판타지,차우렌즈,184.3만,전체 861,전체 200,23.05.19,23.08.17,9.8
563,고가치 표적,현대판타지,버저비터,21만,전체 18,전체 252,21.12.16,21.12.16,9.8
564,만렙용병 재벌 성공기 [완결],현대판타지,양피드,116.4만,전체 539,전체 489,20.12.16,21.10.28,8.6
565,"망한 재벌 4세, 돌아오다 [연재]",현대판타지,잉여한Y씨,142.8만,전체 724,전체 412,19.10.04,23.11.02,8.7
566,미래컴퓨터를 줍다: 초갑질기업물 [완결],현대판타지,예린채린,86.8만,전체 338,전체 198,19.05.23,19.05.31,8.2
567,난 오늘만 산다!,현대판타지,글로노동자,344.8만,"전체 6,427",전체 250,21.01.13,21.06.18,9.7
568,신들의 중고나라 [완결],현대판타지,두파치타파,56만,전체 582,전체 154,20.07.28,20.07.31,9.8
569,전역날 귀환하다,현대판타지,절대안정,30.9만,전체 32,전체 245,23.11.02,24.03.11,9.2
570,장침 먹는 깡촌 명의 [완결],현대판타지,가프,72.6만,전체 632,전체 293,22.11.17,22.11.29,10.0
571,망겜의 성기사 [완결],현대판타지,검미성,130.9만,"전체 2,578",전체 206,19.09.02,19.09.08,9.8
572,역대급 재벌3세,현대판타지,태진,46.1만,전체 74,전체 175,22.01.05,22.01.05,9.8
573,이번 생은 싹쓰리 재벌,현대판타지,팥고당,18.5만,전체 69,전체 105,23.07.06,23.07.06,9.2
574,촌구석 목장에서 힐링합니다,현대판타지,진키,22만,전체 49,전체 200,24.01.11,24.03.04,10.0
575,재벌 3세의 홀로서기,현대판타지,새가람,85.2만,전체 102,전체 264,23.08.30,23.08.30,9.0
576,천재포수가 선수도 잘 키움,현대판타지,경제설,13.1만,전체 59,전체 170,22.04.25,22.06.15,10.0
577,다시 태어난 베토벤,현대판타지,우진,"4,738.3만",전체 6.1만,전체 670,18.09.03,22.09.28,9.9
578,아프리카의 독재자가 되었다,현대판타지,그너머,94만,전체 781,전체 306,21.06.12,22.02.05,9.5
579,재벌 설계자,현대판타지,서재현,29.6만,전체 17,전체 300,23.05.11,23.05.11,6.7
580,호감 받고 성공 더!,현대판타지,인기영,15만,전체 143,전체 246,23.03.10,23.03.10,9.7
581,나태한 천재는 거물이 되기로했다 [완결],현대판타지,장탄,52.7만,전체 195,전체 317,22.07.28,22.08.06,9.5
582,강속구 투수가 홈런도 잘 침,현대판타지,아이디드,12.7만,전체 89,전체 120,22.09.02,22.09.02,9.7
583,여배우가 사랑하는 천재작가,현대판타지,빅스톤,15.9만,전체 141,전체 235,23.05.11,23.06.28,9.3
584,MLB의 문제아가 되었다,현대판타지,콜비플,18.8만,전체 369,전체 251,23.12.11,24.04.26,9.4
585,천재재벌 강림하다,현대판타지,꿈가득남,29.4만,전체 67,전체 145,21.09.02,21.11.11,9.2
586,또 다시 작가,현대판타지,윤신현,10.9만,전체 80,전체 300,20.10.16,20.10.16,9.9
587,신들린 닥터 김수혁,현대판타지,일휘(一揮),32.1만,전체 28,전체 270,23.08.18,24.05.09,9.7
588,화룡[완결],현대판타지,경우勁雨,132.8만,"전체 2,026",전체 343,19.06.05,19.09.28,9.5
589,클론,현대판타지,박재학,9.8만,전체 26,전체 220,23.07.28,23.07.28,7.5
590,나는 죽지 않는다 [완결],현대판타지,허머MK2,14.8만,전체 190,전체 194,20.03.30,20.08.13,9.7
591,아포칼립스의 상속자,현대판타지,미스터쿼카,42.3만,전체 597,전체 180,23.01.10,23.01.10,9.7
592,골동품으로 먼치킨 [완결],현대판타지,글루밍,13.6만,전체 39,전체 117,21.06.09,21.06.09,9.6
593,천재 외과의사 박현우는 동생을 구하고 싶다,현대판타지,미루하,21.3만,전체 37,전체 202,23.03.09,23.03.09,9.2
594,미라클 마이 라이프 [완결],현대판타지,잔영JY,33만,전체 117,전체 164,19.03.14,19.03.20,9.7
595,19금,현대판타지,19금,19금,19금,19금,19금,19금,19금
596,타격감이 폭발한다[연재],현대판타지,모루우,126.5만,전체 674,전체 200,19.09.17,19.10.30,9.2
597,알고보니 재벌아들 [완결],현대판타지,폰작가,64.3만,전체 110,전체 226,22.03.28,22.04.02,8.6
598,환생한 천재는 배우가 되고 싶다,현대판타지,밀크티,67.7만,전체 912,전체 256,22.02.10,22.04.18,9.7
599,낙하산이 천재매니저였다고? [완결],현대판타지,쏘하이,19.3만,전체 119,전체 170,21.11.16,21.11.20,9.8
600,"회귀 조폭, 천하를 먹다",현대판타지,홍석,58만,전체 158,전체 250,22.03.11,22.04.24,9.7
601,삼류무가 천하제일인,무협,유리손,102.8만,전체 308,전체 120,24.05.15,24.06.26,9.6
602,흑백무제,무협,현임,2.7억,전체 12.6만,"전체 1,230",21.02.26,24.06.26,9.8
603,신마대제,무협,은검,"3,951.8만",전체 1.6만,전체 652,23.01.19,24.06.26,9.6
604,천하제일 무공교관,무협,신가,"4,597만",전체 1.3만,전체 650,22.11.02,24.06.26,9.7
605,"의원, 다시 살다",무협,태선,2.3억,전체 23.6만,"전체 1,389",20.10.21,24.06.26,9.9
606,은해상단 막내아들,무협,향란,"3,648.9만",전체 1만,전체 478,23.06.23,24.06.26,9.6
607,화산천마,무협,사야객,"4,568.5만",전체 1.2만,전체 626,22.07.08,24.06.26,9.3
608,학사신공,무협,왕위,1.5억,전체 9만,"전체 2,243",17.07.27,20.08.03,9.3
609,전생검신,무협,구로수번,2.6억,전체 21.7만,"전체 1,858",16.06.03,24.06.26,9.4
610,제암진천경,무협,유과,"8,795.6만",전체 8.2만,전체 739,20.11.26,24.06.25,9.9
611,괴존강림,무협,해경,"2,588.4만","전체 6,323",전체 525,22.11.28,24.06.07,9.4
612,창황회귀,무협,단룡(斷龍),96.1만,전체 494,전체 117,24.05.18,24.06.26,9.6
613,야수무쌍,무협,양비,611.2만,"전체 1,969",전체 163,24.04.09,24.06.26,9.4
614,구천구검,무협,조진행,3.8억,전체 26.9만,"전체 1,525",18.07.27,24.04.21,6.5
615,청성마검,무협,묵공,125.3만,전체 543,전체 118,24.06.07,24.06.26,8.9
616,무림에서 색목인으로 살아남기,무협,이온,34.6만,전체 215,전체 134,24.05.23,24.06.26,9.2
617,우리 아빠는 천하제일인,무협,작가8호,"2,121.4만",전체 1.2만,전체 333,23.08.29,24.06.26,9.3
618,19금,무협,19금,19금,19금,19금,19금,19금,19금
619,로그인 무림,무협,제로빅,1.9억,전체 13.4만,"전체 1,137",19.03.04,24.06.21,9.2
620,기연독식,무협,류진,"3,747.8만",전체 1.3만,전체 496,23.02.15,24.06.26,9.5
621,일월무신,무협,인재,"1,580.7만","전체 4,258",전체 389,23.09.21,24.06.26,9.5
622,구룡전기,무협,사류라,"1,876.7만","전체 4,562",전체 581,23.02.21,24.06.26,9.5
623,초능력무신,무협,운천룡,887.3만,"전체 3,800",전체 255,24.01.13,24.06.26,9.3
624,파공검제,무협,눈매,"3,693.1만",전체 1.6만,전체 893,22.06.10,24.06.26,9.5
625,신귀환생,무협,보용도,"1,412.4만","전체 4,823",전체 387,23.07.04,24.06.26,9.0
626,환생무제,무협,하현준,896만,"전체 2,150",전체 286,24.01.09,24.06.26,9.5
627,무신귀환록,무협,묘수,1.4억,전체 5.7만,전체 600,18.02.19,22.08.11,9.6
628,북천전기,무협,천봉,"4,755.9만",전체 1.3만,전체 770,22.06.07,24.03.30,9.5
629,악인들의 대사형,무협,"류진,권태용",1.2억,전체 6.5만,전체 600,19.06.02,20.11.26,9.8
630,내 딸은 무공 천재,무협,유니아빠,71.5만,전체 306,전체 125,24.05.20,24.06.26,9.8
631,야생검신,무협,환빈,142.9만,전체 606,전체 187,24.04.24,24.06.26,9.6
632,별종,무협,글작소,882.3만,"전체 3,044",전체 186,23.09.27,24.06.26,9.6
633,하오문의 절대검신,무협,정천,366.8만,"전체 1,295",전체 279,23.12.15,24.06.26,9.3
634,초초수련천년,무협,"임아소,한태정",692.9만,"전체 5,990","전체 1,013",23.09.04,24.06.27,9.8
635,무적혈도제,무협,한백림,629.7만,"전체 7,199",전체 343,23.06.09,24.06.26,9.7
636,황금세가 장남은 천마,무협,윤신현,660.1만,"전체 1,791",전체 255,24.01.04,24.06.27,8.8
637,절맥검신,무협,그냥최씨,147.3만,전체 479,전체 134,24.05.09,24.06.26,8.9
638,천하제일 곤륜객잔,무협,백보,"8,704만",전체 4.7만,전체 500,18.03.12,24.04.27,9.7
639,고금제일록,무협,묘수,443.5만,"전체 1,632",전체 350,23.10.04,24.04.17,9.0
640,남궁세가 천재 외손자,무협,신랑,"3,658.9만",전체 1.4만,전체 756,22.01.12,24.06.25,9.6
641,환생마신전,무협,사도연,"1,003.6만","전체 2,712",전체 343,23.12.29,24.06.26,9.6
642,무당광마,무협,자망,255.4만,"전체 1,044",전체 235,23.12.07,24.06.25,8.9
643,낙향지현,무협,아크로,435.1만,"전체 1,600",전체 212,24.02.07,24.06.26,9.3
