,제목,장르,작가,조회수,댓글,연재수,연재 시작일,최신 연재일,평점
53,신과 함께 레벨업,판타지,흑아인,1.4억,전체 6만,전체 635,19.10.24,22.06.15,9.8
54,삼국지 맹달전,판타지,pioren,136.9만,"전체 1,380",전체 291,23.11.30,24.06.26,9.0
55,고인물이 공략을 알려줌,판타지,꿀나무,101.8만,전체 765,전체 122,24.05.15,24.06.26,9.5
56,신화급 네크로맨서가 되었다,판타지,웹중,14만,전체 70,전체 138,24.05.28,24.06.27,7.1
57,재앙급 영웅님이 귀환하셨다,판타지,산지직송,"8,645.3만",전체 6.9만,전체 509,19.08.13,22.02.05,9.9
58,크툴루 게임 속 천재 마법사가 되었다,판타지,귀한자식,"1,280.9만",전체 1.8만,전체 587,22.12.29,24.06.26,9.9
59,회귀자 사용설명서,판타지,흙수저,"9,814만",전체 19.5만,"전체 1,834",17.12.01,24.06.25,9.8
60,얼어붙은 플레이어의 귀환,판타지,제리엠,2.1억,전체 12.4만,전체 642,19.07.30,21.12.24,9.9
61,진화 특성으로 최강 네크로맨서,판타지,짜빈동귀신,862.7만,"전체 3,602",전체 415,23.04.01,23.04.01,9.4
62,전설급 귀환자가 살아가는 법,판타지,넉울히,"1,165.7만","전체 4,744",전체 325,23.09.05,24.04.15,9.3
63,픽 미 업!,판타지,헤르모드,"3,806.3만",전체 3.2만,전체 400,17.11.15,23.02.22,9.9
64,내 인벤토리가 이상하다,판타지,시계열,"5,829.4만",전체 4.7만,"전체 1,025",20.06.09,24.06.23,9.7
65,삼국지 여포의 인생 시뮬레이터,판타지,회설화적호자,131.9만,"전체 1,258",전체 493,24.02.01,24.06.27,9.6
66,19금,판타지,19금,19금,19금,19금,19금,19금,19금
67,디버프 마스터,판타지,담화공,2억,전체 12.6만,"전체 1,325",18.02.23,21.08.02,9.7
68,이레귤러 감정사의 회귀,판타지,시르베르,447.5만,"전체 1,857",전체 205,24.02.19,24.06.26,9.5
69,멸망급 무신의 귀환,판타지,꼬마돌,305만,"전체 1,245",전체 148,24.05.03,24.06.26,9.2
70,전생자,판타지,나민채,1.4억,전체 9.1만,전체 570,17.12.29,20.07.10,9.8
71,명가의 역대급 재능천재로 환생했다,판타지,플라이스,"2,311.8만","전체 6,801",전체 594,22.09.19,24.06.26,9.7
72,이세계 지구의 마기 포식자,판타지,실렝,46.5만,전체 175,전체 120,24.05.07,24.06.26,9.3
73,숲의 종족 클로네,판타지,이환,807.2만,전체 1.1만,전체 215,23.10.16,24.06.26,9.8
74,스킬빨로 레벨업,판타지,파란영,"9,910.6만",전체 5.7만,전체 622,20.07.07,23.07.26,9.9
75,검술 고인물의 게임방송,판타지,전송기,"1,672.6만",전체 1.3만,전체 385,23.05.10,24.06.26,9.8
76,재능만렙 플레이어,판타지,비츄,1.1억,전체 4.6만,전체 690,18.09.03,20.10.23,9.5
77,던전 & 커맨더,판타지,현민,"9,684만",전체 5.1만,"전체 2,027",16.04.08,24.06.26,9.6
78,아포칼립스 판타지에서 살아남는 법,판타지,난중일기,147.3만,전체 852,전체 146,24.04.08,24.06.27,9.4
79,귀환한 천재 농부가 사는 법,판타지,바람열매,337.6만,"전체 1,915",전체 230,24.02.22,24.06.26,9.9
80,무공 천재의 헌터 라이프,판타지,사니풍산,517.1만,"전체 1,721",전체 436,23.04.04,24.06.27,9.2
81,시종 가문 서자는 대마도사,판타지,꿈노래,407.3만,"전체 1,477",전체 287,24.02.09,24.06.26,9.5
82,해골 병사는 네크로맨서가 되었다,판타지,골드바,429.9만,"전체 2,264",전체 296,23.11.01,24.06.26,9.6
83,회귀했더니 무공 천재,판타지,윤도진,"6,263.4만",전체 2.6만,전체 705,21.03.11,23.08.21,9.4
84,게이트에 쉘터를 숨김,판타지,초과근무,187.7만,전체 981,전체 253,23.12.21,24.06.08,9.3
85,괴식식당,판타지,메제드K,"1,120.7만",전체 2.4만,"전체 1,007",20.09.26,24.06.26,9.8
86,"영웅, 회귀하다",판타지,흑아인,1.2억,전체 5.2만,전체 596,17.05.30,19.08.26,9.9
87,밥만 먹고 레벨업,판타지,박민규,2.7억,전체 15.3만,"전체 1,443",18.11.06,22.08.27,9.8
88,명문고 EX급 조연의 리플레이,판타지,기월월,"1,941.1만",전체 4.2만,"전체 1,156",20.02.06,24.06.26,9.9
89,시간을 감는 대마법사,판타지,2차자아,354.1만,"전체 2,313",전체 286,23.11.22,24.06.26,9.3
90,만 년 만에 귀환한 플레이어,판타지,나비계곡,2.2억,전체 18.6만,전체 787,18.07.03,23.10.10,9.8
91,리더(Reader)-읽는 자,판타지,강철민,1.1억,전체 6.1만,전체 579,16.05.10,18.04.05,9.5
92,"천재 게이머, 영웅명가에 환생하다",판타지,은밀히,816.9만,"전체 3,531",전체 329,23.08.10,24.06.26,9.5
93,종말급 귀환자는 재앙을 먹는다,판타지,귀한,281만,"전체 2,714",전체 165,24.03.18,24.06.26,9.7
94,언어의 주인이란,판타지,정보석(가을bee),"1,333만",전체 3만,"전체 1,022",21.01.06,24.06.26,9.8
95,회귀자의 메모장,판타지,지갑송,877.8만,전체 1.1만,전체 342,23.07.30,24.06.26,9.7
96,성스러운 네크로맨서,판타지,"송장벌레, TLT",67.4만,전체 527,전체 123,24.05.08,24.06.26,9.5
97,매력 천재의 길드 매니지먼트,판타지,율무,410.7만,"전체 8,108",전체 283,23.10.18,24.06.26,9.8
98,두 번 사는 랭커,판타지,사도연,3.3억,전체 14.6만,전체 862,17.10.16,21.08.28,9.9
99,마법명가 차남으로 살아남는 법,판타지,자연주의,746.1만,전체 1.6만,전체 494,22.12.05,24.06.26,9.9
100,회귀자가 다 만들어줌,판타지,마교졸개,"1,699.2만",전체 1.2만,전체 494,22.08.12,24.06.26,9.9
101,역대급 천재 랭커의 귀환,판타지,글나무,"1,649.8만","전체 7,092",전체 334,23.06.08,24.05.23,9.1
102,회귀자의 보법이 너무 강함,판타지,붉닭E,133만,전체 518,전체 123,24.05.21,24.06.27,9.0
103,지구식 구원자 전형,판타지,외투,323.4만,"전체 4,535",전체 368,23.12.14,23.12.14,9.8
104,회귀자가 무공이 너무 강하다,판타지,재승,471.3만,"전체 1,335",전체 300,23.10.06,24.06.27,8.9
105,만년종자가 사는 법,판타지,글럼프,589.4만,"전체 7,195",전체 318,22.09.20,24.06.26,9.0
106,천재 흑마법사 [연재],판타지,노란커피,423.7만,"전체 5,842",전체 785,22.04.05,24.03.29,9.9
107,공략집 든 이방인,판타지,배고픈판다,219.1만,"전체 2,448",전체 277,23.07.07,24.05.13,9.6
108,달빛조각사 [단행본],판타지,남희성,86.5만,전체 196,전체 58,20.10.08,20.10.08,8.2
109,사령왕 카르나크,판타지,임경배,"1,081.9만",전체 1만,전체 408,22.12.22,24.06.25,9.9
110,역대급 제작천재의 게임방송,판타지,수리부엉이,220.2만,"전체 1,190",전체 193,24.04.16,24.06.26,9.5
111,내 특성이 너무 많음,판타지,악티늄K,"1,541.4만","전체 6,654",전체 388,22.11.02,24.02.25,8.5
112,중간 보스의 소꿉친구가 되었다,판타지,시윤,"1,160.5만",전체 1.7만,전체 330,21.11.29,24.05.03,9.8
113,용을 삼킨 마법사,판타지,일황,"2,310.1만",전체 1.2만,전체 286,21.03.15,21.10.26,9.7
114,아기 용과 시골에서 힐링합니다,판타지,단열,75.1만,전체 765,전체 241,24.01.26,24.06.26,9.7
115,힐통령-태양의 사제,판타지,제리엠,"5,226만",전체 3.8만,전체 458,17.07.21,22.03.16,9.9
116,반월당의 기묘한 이야기,판타지,정연,337.2만,"전체 5,488",전체 298,22.04.14,24.05.29,10.0
117,19금,판타지,19금,19금,19금,19금,19금,19금,19금
118,19금,판타지,19금,19금,19금,19금,19금,19금,19금
119,전생 2회차 9클래스 흑마법사,판타지,오리튼튼,404만,"전체 2,440",전체 303,23.05.10,24.06.25,9.4
120,환생한 영주가 검술도 천재인데 마법까지도 잘 씀,판타지,오천광,103.1만,전체 468,전체 168,24.04.09,24.06.27,8.9
121,31번째 말은 게임판을 뒤엎는다,판타지,왕모찌,"3,026.2만",전체 3.1만,전체 589,20.11.30,23.07.14,9.9
122,올 마스터는 쉬고 싶다,판타지,청송(靑松),92.2만,전체 700,전체 154,24.03.13,24.06.26,9.6
123,이미 한 번 망하고 왔습니다,판타지,은솔나래,39.6만,전체 117,전체 132,24.05.20,24.06.26,9.2
124,초월급 천재 소환사로 귀환했다,판타지,우림,483.9만,"전체 2,702",전체 315,23.11.07,24.06.26,9.7
125,잠만 자도 랭커,판타지,워럭,"4,415.4만",전체 3.3만,전체 743,18.05.23,24.06.26,9.7
126,아공간으로 인생 대박,판타지,연이요,264.4만,"전체 1,601",전체 204,23.04.26,24.01.15,9.4
127,회귀했더니 무인이 되었다,판타지,난r2,345만,"전체 1,117",전체 237,23.12.26,24.06.27,8.9
128,성황의 아이들,판타지,카페인나무s,"1,180.8만",전체 2.3만,전체 481,22.02.16,24.06.26,9.9
129,무한전생-아서 허트,판타지,광악,69.6만,"전체 1,582",전체 202,24.02.18,24.06.26,9.8
130,무공으로 레벨업하는 마왕님,판타지,아이박슨,"4,177.5만",전체 2.7만,전체 725,20.01.23,23.11.22,9.6
131,아카데미 최약체 헌터의 사생활,판타지,소신,16.5만,전체 158,전체 116,24.05.23,24.06.27,9.4
132,귀환한 마신은 만렙 플레이어,판타지,소해현,"1,217.5만","전체 4,164",전체 450,22.09.07,24.06.26,9.2
133,문효! 세계를 경영하다,판타지,천지무천,748.9만,"전체 3,315",전체 420,23.01.05,24.06.25,8.9
134,귀환 후 던전 편의점,판타지,시공전사,354.9만,"전체 2,254",전체 186,24.02.28,24.06.26,8.2
135,너네 스킬 다 내꺼!,판타지,김단풍,"3,889.4만",전체 3.6만,"전체 1,163",19.12.04,24.06.25,9.7
136,"조선, 혁명의 시대",판타지,태사령,891.4만,전체 1.4만,전체 876,19.11.25,24.06.25,9.6
137,철혈검가 사냥개의 회귀,판타지,레고밟았어,"6,998.7만",전체 8.3만,전체 500,20.02.29,21.06.01,8.7
138,"사천당문의 독공천재, 아카데미에 환생하다",판타지,소영이아빠,126.2만,전체 620,전체 145,24.05.01,24.06.27,8.5
139,엑스트라 왕자는 세계정복을 시작한다,판타지,일계,584.5만,"전체 4,845",전체 407,22.11.21,24.03.09,9.8
140,망겜의 외노자,판타지,게살피자,177.1만,"전체 2,652",전체 217,24.01.24,24.06.26,9.6
141,전생의 프로가 꿀 빠는 법,판타지,송수하,1.6억,전체 8.5만,전체 772,17.01.27,20.02.18,9.8
142,뽑기하는 마왕님,판타지,왕모찌,166.6만,"전체 1,666",전체 212,24.01.30,24.06.26,9.7
143,조선대혁명,판타지,다물,"1,697.3만","전체 9,669","전체 1,175",14.06.30,16.06.05,4.9
144,시한부 단장은 레이드를 성공시킨다,판타지,글공대장,612만,전체 1.3만,전체 713,21.10.23,24.06.26,9.9
145,만렙 플레이어의 100번째 회귀,판타지,킹소다,"1,758.4만",전체 1.1만,전체 425,21.09.16,24.02.28,9.2
146,행운빨로 레벨업,판타지,글포터,984.6만,"전체 4,690",전체 340,23.01.27,23.12.08,9.3
147,뽑기로 강해진 10성급 플레이어,판타지,삼편잡가,"7,530.8만",전체 6만,전체 599,20.04.30,24.05.20,9.7
148,"충왕전의 고인물, 초월급 사마귀로 회귀하다",판타지,이우찬,444.2만,"전체 3,139",전체 392,23.06.01,24.06.26,9.6
149,내 분신이 거물이 되어간다,판타지,실험샘플,135.7만,"전체 2,520",전체 556,23.04.20,24.06.26,10.0
150,이세계 외과의사 허태호,판타지,경우勁雨,70.1만,전체 414,전체 230,23.12.27,24.02.06,9.9
151,망한 가문의 검술 천재가 되었다,판타지,소구장,767.9만,"전체 6,388",전체 400,22.04.17,23.07.03,9.5
152,나는 될놈이다,판타지,글쓰는기계,2.2억,전체 12.8만,"전체 1,826",17.06.16,22.01.16,9.9
153,전생자는 무결점 재능천재,판타지,쏭범,255.8만,전체 926,전체 218,24.01.22,24.06.26,9.7
154,백작가의 방패는 왕국을 지킨다,판타지,품바,572.3만,"전체 2,115",전체 372,23.02.18,24.02.07,9.4
155,영웅시대,판타지,이원호,"1,498.7만","전체 5,456","전체 1,462",16.07.18,24.06.26,9.3
156,검공가에 환생한 검제,판타지,메켄로,"1,588.7만","전체 4,941",전체 300,23.07.19,24.03.21,9.3
157,개념 잡는 마법 천재,판타지,김정글,392.1만,"전체 3,019",전체 327,23.07.17,24.06.14,9.8
158,다 가지고 귀환했다,판타지,호옹게,35.7만,전체 110,전체 159,23.01.10,23.02.01,9.5
159,이 가문의 미친놈은 나야,판타지,달필,638.5만,"전체 4,876",전체 400,23.06.01,24.06.21,9.7
160,삼왕의 제자,판타지,가빈지,"1,912.5만",전체 1.3만,전체 525,22.02.11,23.08.17,9.5
161,8클래스 마법사의 회귀,판타지,류송,"4,639.5만",전체 2.2만,전체 341,17.03.10,22.02.23,9.8
162,터무니없는 스킬로 이세계 방랑 밥,판타지,에구치 렌,136.6만,전체 979,전체 676,20.05.15,24.03.15,9.6
163,역천의 대한민국!,판타지,강바기,108.4만,전체 846,전체 361,23.10.30,24.06.26,9.3
164,회귀했더니 드래곤의 힘을 얻었다,판타지,이우찬,594.6만,"전체 2,346",전체 301,21.11.20,22.07.19,9.2
165,나 빼고 다 회귀자,판타지,토이카,"2,352.7만",전체 1.9만,전체 356,22.04.07,23.04.25,9.9
166,무한 인벤토리 들고 무한회귀,판타지,중원(衆員),6.5만,전체 24,전체 344,24.06.17,24.06.26,9.9
167,회귀한 마왕은 착하게 산다,판타지,배고픈판다,"2,536.4만",전체 3.4만,전체 628,20.01.10,22.04.01,9.8
168,헌터의 현대생활백서,판타지,Otello,66.6만,전체 143,전체 204,22.04.22,22.04.22,9.3
169,강철을 입은 천재,판타지,녹색여우,95.8만,"전체 1,343",전체 241,23.11.17,24.06.26,9.9
170,지옥에서 돌아온 성좌님,판타지,글쓰는기계,"4,681.4만",전체 3.7만,전체 573,20.08.19,21.11.28,9.9
171,엔딩메이커,판타지,취룡,900.7만,전체 1.2만,전체 474,20.02.07,22.09.30,9.9
172,암살검가 로이넨,판타지,김섬섬,850.7만,"전체 7,794",전체 469,22.04.20,24.06.26,9.5
173,에필로그가 찾아온다,판타지,기제,202만,"전체 3,125",전체 269,24.01.07,24.06.26,9.6
174,마탄의 사수,판타지,이수백,2.6억,전체 12.5만,"전체 2,128",18.04.16,22.07.22,9.4
175,아카데미 속 SSS급 일인군단,판타지,퀘이사,218.4만,"전체 1,072",전체 276,23.11.13,24.06.27,9.4
176,마왕을 죽였다. 실수였다.,판타지,박루트,178만,"전체 1,945",전체 212,24.02.19,24.06.26,9.6
