,제목,장르,작가,연재 시작일,마지막 연재일,회수,조회수,추천수,글자수,선작수
127,봉황의 비상 제2부,"대체역사, 전쟁·밀리터리",슈타인호프,2015.01.02 17:10,2017.06.26 16:39,155 회,"223,597","7,693","839,559",827
128,선독점 제국의 보나파르트,"대체역사, 전쟁·밀리터리",TheTempes,2022.05.16 01:14,2022.10.29 06:00,200 회,"1,048,943","39,737","1,056,323","4,553"
129,선독점 삼국지 원소가 되었다,"대체역사, 전쟁·밀리터리",설은하수,2023.07.01 12:00,2024.01.25 12:00,200 회,"484,307","9,870","1,046,781","1,723"
130,전투왕,"전쟁·밀리터리, 일반소설",버저비터,2015.09.19 12:30,2016.01.04 14:09,155 회,"201,537","5,410","862,473",584
131,선독점 아프간에서 각성하다,"현대판타지, 전쟁·밀리터리",유나파파,2022.12.07 22:00,2023.06.19 22:00,200 회,"1,804,144","49,084","1,229,209","7,962"
132,선독점 서부전선 이상있다,"대체역사, 전쟁·밀리터리",겨울까마귀,2021.05.13 00:57,2022.01.07 09:27,242 회,"2,068,875","61,199","1,482,578","6,753"
133,선독점 용병 블랙맘바,"현대판타지, 전쟁·밀리터리",남양군,2014.03.07 10:10,2016.03.06 18:34,760 회,"6,960,456","224,525","4,711,276","7,106"
134,선독점 한량 정인환 - 혁명의 시대,"대체역사, 전쟁·밀리터리",고영진,2019.10.24 07:37,2020.05.06 09:30,180 회,"962,455","26,478","1,238,963","2,673"
135,선독점 자유 프랑스의 한국인,"대체역사, 전쟁·밀리터리",암여파더,2020.10.13 16:05,2021.05.15 10:05,215 회,"960,876","28,344","1,788,418","3,600"
136,선독점 조선 수군이 되었다.,"대체역사, 전쟁·밀리터리",케이도깨비,2021.12.20 05:25,2023.08.23 13:00,400 회,"832,941","23,159","2,130,540","2,694"
137,선독점 이탈리아에서 살아남기,"대체역사, 전쟁·밀리터리",포렴,2022.09.21 00:04,2023.05.29 21:07,133 회,"352,666","18,047","714,088","2,435"
138,선독점 강철의 백제,"대체역사, 전쟁·밀리터리",한혼,2023.10.03 12:00,2024.04.02 18:59,153 회,"376,259","11,544","826,200","1,689"
139,"선독점 망할세상, 잠수함 탑니다","전쟁·밀리터리, 현대판타지",박침,2023.05.27 00:01,2023.12.30 06:00,248 회,"1,023,017","23,116","1,228,269","3,799"
140,선독점 최강 : 신이라 불리는 사나이,"현대판타지, 전쟁·밀리터리",준강(俊剛),2018.07.28 20:30,2019.08.21 11:47,359 회,"5,397,830","136,946","2,113,107","13,635"
141,"선독점 D-day, 한중전쟁",전쟁·밀리터리,khanengl,2016.09.23 20:07,2017.03.29 15:41,140 회,"66,187","1,117","933,135",417
142,선독점 전쟁영웅인데 해임당함,"판타지, 전쟁·밀리터리",소설세상,2020.12.26 12:10,2022.10.15 17:12,156 회,"1,651,134","33,717","851,748","8,092"
