,제목,장르,작가,연재 시작일,마지막 연재일,회수,댓글수,추천수,평점
1,김 대리는 아이돌이 싫어 [독점],현판,퇴사연습생,(2023.11.07.),(2024.06.24.),270,"16,930",233,9.9
2,병약한 대공비의 남편은 기억 상실 [선공개],로판,천혜랑,(2024.05.17.),(2024.05.17.),84,23,1,8.0
3,귀농했더니 국가급 거물 후배들이 몰려든다,판타지,아길론,(2024.04.04.),(2024.06.18.),164,"1,792",27,9.5
4,운명을 보는 회사원,현판,영완(映完),(2020.01.10.),(2023.06.26.),317,"16,239",863,9.8
5,먹방으로 성공하는 ‘전’ 공작부인 [독점],로판,S모씨,(2024.05.03.),(2024.05.03.),125,67,5,7.3
6,낱장의 여름 [독점],로맨스,박영,(2024.05.23.),(2024.05.23.),95,"1,188",35,9.5
7,당신의 마지막은 나여야만 한다 [선공개],로판,조일구,(2024.05.03.),(2024.05.03.),110,113,15,9.6
8,광마회귀 [독점],무협,유진성,(2020.02.26.),(2022.08.03.),450,"171,271","3,437",9.9
9,제국 경비대의 망나니 소드마스터,판타지,사탕꽃,(2024.05.13.),(2024.06.22.),136,"1,089",7,9.3
10,당신의 구원을 바라지 않는다,로판,우제,(2024.05.03.),(2024.05.03.),102,22,5,9.7
11,이번 생엔 내가 죽을게 [선공개],로판,진혜이,(2024.05.24.),(2024.05.24.),151,51,3,9.4
12,일타강사 백사부 [독점],무협,간짜장,(2020.10.21.),(2024.06.24.),738,"72,530","1,204",9.8
13,실종된 성녀가 바로 나였다 [선공개],로판,라르메,(2024.05.17.),(2024.05.17.),87,13,3,8.5
14,재해급 암살자가 해방됐다 [독점],판타지,이등별,(2024.04.09.),(2024.06.24.),129,968,19,9.2
15,별을 품은 소드마스터,판타지,Q10,(2021.06.29.),(2022.04.18.),285,"17,475",568,9.8
16,당문출사 [독점],무협,기혁,(2023.06.20.),(2024.06.07.),374,"2,520",35,8.5
17,당문전,무협,제이허빈,(2023.07.12.),(2024.06.24.),436,"14,705",91,9.4
18,왜 이제 와서 이래 [독점],로판,랑퀸,(2024.05.02.),(2024.06.24.),114,"3,038",26,8.5
19,디펜스 게임의 폭군이 되었다 [독점],판타지,류은가람,(2021.02.10.),(2024.06.22.),854,"37,210",772,9.8
20,짜장 한 그릇에 제갈세가 데릴사위,무협,에르훗,(2022.10.21.),(2024.06.24.),688,"17,134",99,9.6
21,마교 교주의 부군이 되었다 [독점],무협,쥬레이,(2023.09.19.),(2024.06.24.),314,"7,430",109,9.4
22,겨우 강해졌는데 회귀해버림,현판,수국칼,(2024.05.09.),(2024.06.21.),134,781,5,8.6
23,슬라임 합성으로 만능 농사꾼 [독점],현판,짜빈동귀신,(2023.12.05.),(2024.06.24.),231,"2,664",49,9.5
24,천마님 안마하신다,현판,레빗토끼,(2022.04.14.),(2024.04.12.),309,"2,627",34,9.7
25,아포칼립스에 집을 숨김,현판,로드워리어,(2023.04.17.),(2024.06.21.),465,"28,298",238,9.5
26,마도전생기 [독점],무협,codezero,(2020.02.17.),(2024.06.24.),934,"40,426",740,9.2
27,서부로 간 검은머리 용병,판타지,노오력.,(2021.11.25.),(2024.01.23.),592,"5,911",43,9.6
28,바스티안 [독점] [에디티드 버전],로판,솔체,(2023.01.13.),(2023.08.04.),237,"44,923","1,210",9.5
29,블랙배저 [독점],판타지,썬터다운,(2023.08.30.),(2024.06.24.),473,"38,241",536,9.9
30,문제적 왕자님 [독점],로판,솔체,(2020.06.12.),(2020.10.01.),180,"34,734","2,445",9.8
31,이섭의 연애 [독점],로맨스,김언희,(2021.04.16.),(2023.07.25.),105,"2,354",535,9.9
32,"울어 봐, 빌어도 좋고 [독점]",로판,솔체,(2019.08.28.),(2019.10.29.),170,"52,793","5,010",9.7
33,어째서 부부 스캔들 [선공개],로맨스,오묘희,(2024.05.10.),(2024.05.10.),72,114,2,9.7
34,비공식 연애 [독점],로맨스,차윤서,(2024.05.01.),(2024.05.01.),74,"1,229",6,9.3
35,범상한 변호사의 아공간,현판,서칸더브이,(2024.04.11.),(2024.06.24.),179,"1,506",31,9.7
36,"언니, 이번 생엔 내가 왕비야 [독점]",로판,레팔진프,(2020.12.06.),(2024.06.22.),600,"72,344","2,373",7.5
37,괴물 천재선수들이 날 너무 좋아함,현판,혜인태,(2024.02.20.),(2024.06.24.),232,"2,500",19,9.7
