,제목,장르,작가,연재 시작일,마지막 연재일,회수,조회수,추천수,글자수,선작수
135,선독점 검은머리 미군 대원수,"대체역사, 현대판타지",명원(命元),2020.06.29 19:00,2023.05.16 14:00,583 회,"28,304,449","896,262","3,460,974","44,499"
136,선독점 내 안에 AI가 들어왔다,현대판타지,장경의꿈,2024.01.24 09:53,2024.06.25 12:20,138 회,"1,417,042","29,237","764,187","5,080"
137,선독점 맛집 사장님은 빌런 탈곡기,"현대판타지, 퓨전",크엉컹컹,2024.01.14 21:34,2024.06.25 10:00,152 회,"550,750","24,734","1,072,627","2,880"
138,선독점 투수가 딸깍함!,"스포츠, 현대판타지",엉심킬러,2023.12.06 10:50,2024.06.25 13:40,167 회,"1,319,022","36,910","993,649","6,148"
139,선독점 영단 먹고 예지를 얻다,"현대판타지, 퓨전",새둥이,2023.05.11 18:08,2024.02.09 18:00,204 회,"1,903,192","43,479","1,207,299","6,186"
140,선독점 황금 귀의 프로듀서,"현대판타지, 퓨전",무적푸딩,2024.02.25 13:05,2024.06.25 12:00,117 회,"1,320,456","29,530","701,449","6,096"
141,선독점 흥겜의 딜러,"현대판타지, 게임",행운요정,2024.01.03 11:25,2024.06.24 19:22,111 회,"443,182","23,045","771,390","4,525"
142,선독점 여행 중에 아이가 생겼다.,현대판타지,소설마표,2024.03.14 16:49,2024.06.24 18:00,105 회,"826,832","16,164","545,310","3,957"
143,선독점 괴물급 천재 작가들이 날 너무 좋아함,"현대판타지, 판타지",shoro,2024.03.20 18:10,2024.06.25 08:00,106 회,"611,567","21,271","570,208","4,113"
144,선독점 전생에 미켈란젤로였다,"현대판타지, 드라마",4분,2023.03.28 14:40,2024.06.06 16:54,431 회,"3,421,906","124,371","2,913,648","14,857"
145,선독점 전생이 대마법사다,"현대판타지, 퓨전",동구이,2023.10.27 17:24,2024.06.06 21:00,160 회,"2,242,568","55,734","874,209","11,651"
146,선독점 역대급 천재 재벌,"현대판타지, 퓨전",코알라,2019.09.11 11:18,2021.02.28 12:05,267 회,"6,701,276","142,753","1,676,616","18,275"
147,선독점 초전도체로 세계재벌,"현대판타지, 전쟁·밀리터리",종이노트,2023.08.03 16:40,2024.04.12 17:00,250 회,"1,787,037","39,749","1,438,198","6,446"
148,선독점 재벌 떡잎 줍는 천재투자가,"판타지, 현대판타지",흠박,2023.02.19 11:10,2024.03.11 09:00,360 회,"3,281,112","74,445","1,988,345","12,019"
149,선독점 회귀한 복학생이 건축 명문대 만듦,"현대판타지, 판타지",방구석리,2024.01.26 15:10,2024.06.24 21:20,136 회,"1,000,338","27,538","791,951","5,370"
150,선독점 탑스타 버리고 회귀합니다,"현대판타지, 판타지",소래담,2024.01.09 11:38,2024.06.24 20:20,159 회,"1,103,964","28,091","906,528","5,639"
151,선독점 신입사원이 미쳐 날뜀,"현대판타지, 드라마",드렁큰댕댕,2024.03.29 15:07,2024.06.25 12:20,88 회,"705,261","17,314","535,607","3,716"
152,선독점 천재로 돌아왔다,"현대판타지, 드라마",강선우,2022.02.04 08:00,2024.06.25 12:00,867 회,"4,222,859","96,491","4,817,162","11,395"
153,선독점 다이아수저 발롱도르,"스포츠, 현대판타지",S.Captain,2023.12.22 22:00,2024.06.24 22:20,152 회,"958,962","20,714","893,579","4,754"
154,선독점 메이저리그로 간다,"스포츠, 현대판타지",마인네스,2024.01.12 07:01,2024.06.25 08:00,168 회,"1,238,059","30,510","909,448","4,936"
155,선독점 미국 피지컬 천재의 이중생활,현대판타지,용린龍鱗,2023.03.23 18:05,2024.06.25 16:00,193 회,"2,504,967","77,499","1,208,341","12,137"
156,선독점 우주에서 날아온 재벌님,"현대판타지, 퓨전",오유,2021.10.27 14:00,2024.06.24 18:00,152 회,"922,568","22,720","833,778","3,578"
157,선독점 은퇴한 헌터는 세계수를 주웠다,"현대판타지, 판타지",콜레오,2024.02.09 06:06,2024.06.24 12:00,143 회,"1,137,610","28,160","916,675","5,168"
158,선독점 신화급 창고를 얻었다!,"판타지, 현대판타지",앤비즈,2024.05.08 10:03,2024.06.25 10:00,56 회,"686,287","14,258","290,122","4,340"
159,선독점 귀농했더니 국가급 거물 후배들이 몰려든다,"현대판타지, 판타지",아길론™,2023.11.18 13:46,2024.06.18 18:00,164 회,"2,189,027","51,175","897,192","11,618"
160,선독점 아포칼립스 N수생,현대판타지,데이우,2023.07.03 11:09,2024.06.22 19:53,245 회,"1,236,105","41,981","1,537,436","6,806"
161,선독점 육각형 축구천재가 트로피를 싹쓸이함,"스포츠, 현대판타지",쾌조,2024.01.06 22:27,2024.06.25 12:00,128 회,"1,410,582","31,486","665,496","6,149"
162,선독점 내 헌터물에 아포칼립스는 필요없다,현대판타지,카르카손,2024.02.02 16:26,2024.06.24 22:00,121 회,"536,422","24,671","835,874","4,235"
163,선독점 서부의 합법적 핵쟁이가 되었다,"현대판타지, 판타지",배뿌,2023.10.22 21:26,2024.06.24 18:24,183 회,"1,761,069","63,803","981,426","10,306"
164,선독점 빙하기 아포칼립스의 회사원,"현대판타지, 퓨전",희나리T,2023.07.22 12:20,2024.06.24 21:00,232 회,"2,244,705","49,799","1,245,116","9,688"
165,선독점 의사가 음악을 너무 잘함,"현대판타지, 판타지",세끝,2024.02.11 12:03,2024.06.25 11:04,125 회,"605,342","15,233","728,801","3,119"
166,"선독점 이혼 전 코인 수익률 9,999,999배",현대판타지,로노바,2024.04.01 13:30,2024.06.24 19:20,84 회,"798,862","13,692","465,682","4,011"
167,선독점 딸을 위해 쓴 소설이 대박났다,"현대판타지, 드라마",소수깡,2023.12.26 12:30,2024.06.24 20:10,156 회,"1,121,970","31,384","1,168,220","6,396"
168,선독점 300년 만에 귀환했다,"판타지, 현대판타지",애모르,2023.10.18 22:20,2024.06.24 18:00,168 회,"1,520,131","29,553","996,835","7,082"
169,선독점 재앙급 귀환자의 현대 생활,"현대판타지, 퓨전",펜리힐드,2023.08.29 21:50,2024.06.24 18:00,227 회,"1,784,020","41,280","1,623,751","8,240"
170,선독점 방구석 음악 천재.,"현대판타지, 드라마",시하,2023.04.05 08:20,2024.03.14 18:00,246 회,"4,256,696","135,776","1,597,886","22,074"
171,선독점 아기 용과 시골에서 힐링합니다,"현대판타지, 판타지",단열,2023.10.10 12:20,2024.06.25 12:00,240 회,"1,379,668","49,391","1,541,349","6,487"
172,선독점 전생에 모네 친구였던 재벌집 망나니,"현대판타지, 판타지",폭팡,2024.03.11 14:37,2024.06.24 18:00,96 회,"899,697","20,132","645,172","5,017"
173,선독점 무당이 역대급 음악천재였다.,"현대판타지, 판타지",한꽃,2024.02.19 20:39,2024.06.25 08:00,135 회,"634,065","15,709","741,529","3,250"
174,선독점 해를 세다,"판타지, 현대판타지",황금하르방,2023.12.06 07:33,2024.06.24 22:23,175 회,"740,554","29,344","969,108","3,480"
175,선독점 게임 속 농작물을 현실에서 거래함,"현대판타지, 퓨전",오천자,2024.03.08 13:33,2024.06.24 21:00,94 회,"640,548","20,044","581,201","4,402"
176,"선독점 S급누나, 파멸급 동생","현대판타지, 판타지",잔나비V,2024.04.16 00:17,2024.06.24 18:20,70 회,"900,691","15,659","369,209","4,527"
177,선독점 빌보드 1위로 시작하는 작곡생활,"현대판타지, 드라마",바사라단,2024.03.14 17:44,2024.06.25 08:20,94 회,"993,979","23,686","579,172","5,779"
178,선독점 달동네 천재 작가,"현대판타지, 퓨전",웨이트,2023.07.05 23:55,2024.06.23 22:47,302 회,"1,744,053","68,648","1,790,850","8,900"
179,선독점 좌완으로 170km 던짐,"스포츠, 현대판타지",량주,2024.01.23 21:24,2024.06.24 20:00,125 회,"1,092,942","23,304","672,444","5,343"
180,선독점 나는 이렇게 재벌이 되었다,"현대판타지, 대체역사",푸달,2022.07.15 11:03,2024.05.08 12:20,589 회,"8,752,028","275,570","4,083,625","18,159"
181,"선독점 40년 만에 제대했는데, 다시 이등병","판타지, 현대판타지",반고르,2024.03.11 21:54,2024.06.24 22:00,108 회,"881,528","22,307","662,739","4,216"
182,선독점 국가권력급 헌터가 미국으로 이민감,"현대판타지, 판타지",재즈소울,2024.05.19 01:37,2024.06.24 21:34,62 회,"613,780","10,755","343,939","2,919"
183,선독점 사채왕의 천재손자,"현대판타지, 판타지",김귀랑,2020.10.26 08:05,2024.06.24 18:00,983 회,"6,193,802","133,634","5,915,634","16,774"
184,선독점 특성 쌓는 김전사,"현대판타지, 퓨전",산호초,2023.05.10 10:04,2024.02.19 08:00,300 회,"4,924,371","183,818","1,974,012","23,600"
185,선독점 SSS급 방구석 대장장이,"현대판타지, 퓨전",수리부엉이™,2024.05.11 17:09,2024.06.24 18:00,54 회,"1,272,290","27,736","296,718","9,013"
186,선독점 어쩌다 외계 가발을 주웠다,"현대판타지, SF",춘객,2022.11.01 00:05,2023.09.27 11:00,205 회,"727,429","20,497","1,276,448","2,619"
187,선독점 파혼 당한뒤 EX급 무한성장 특성을 각성해버렸다,"현대판타지, 판타지",대왕풍선,2024.05.16 16:16,2024.06.24 21:39,53 회,"583,024","9,088","329,498","2,928"
188,선독점 0살부터 슈퍼스타,"현대판타지, 퓨전",북그곰,2019.05.20 15:31,2024.04.17 16:00,"1,213 회","9,349,316","307,549","7,312,602","15,515"
189,선독점 빌런의 제국이 시작되었다,"대체역사, 현대판타지",느린손,2024.02.25 08:41,2024.06.24 23:59,63 회,"305,011","7,974","382,183","2,070"
190,선독점 내 미니언들은 플레이어보다 세다,"현대판타지, 판타지",신비공,2024.04.02 23:43,2024.06.24 21:23,82 회,"371,457","8,521","417,670","1,912"
191,선독점 삼국지 설탕왕,"대체역사, 현대판타지",화용,2021.10.26 12:51,2024.06.24 18:00,742 회,"2,109,031","83,397","4,332,754","5,755"
192,선독점 좌천된 재벌 3세는 역대급 축구 단장,"스포츠, 현대판타지",끄적이다,2023.12.04 12:55,2024.06.24 19:00,203 회,"538,523","18,354","1,309,440","2,441"
193,선독점 은퇴했더니 초월급 정령사가 되었다,"현대판타지, 퓨전",배부른콩,2024.03.17 22:13,2024.06.25 10:20,108 회,"300,154","6,777","569,750","1,683"
194,선독점 재벌 3세 천재 배우가 되었다,현대판타지,피제이,2021.05.12 10:05,2022.09.10 11:00,283 회,"4,201,927","141,894","1,581,733","14,091"
195,선독점 미국재벌로 대한독립!,"대체역사, 현대판타지",염왕,2020.06.18 10:01,2021.05.31 21:00,224 회,"3,228,306","92,527","2,632,912","11,192"
196,선독점 존버했더니 제국권력급 스승을 얻었다,"현대판타지, 퓨전",05林,2024.03.26 14:57,2024.06.24 22:20,85 회,"1,061,225","20,814","469,336","4,988"
197,선독점 검은 머리 미국 대재벌!,"현대판타지, 대체역사",흑곰작가,2024.01.11 20:15,2024.06.24 18:00,198 회,"2,248,960","61,164","1,068,652","10,726"
198,선독점 새삼 NBA G.O.A.T가 되었다,"스포츠, 현대판타지",자유수달,2024.01.07 18:09,2024.06.24 21:00,157 회,"404,525","11,918","1,169,403","1,960"
199,선독점 소설 속 빌런,"현대판타지, 판타지",은형로,2019.01.15 09:50,2024.06.10 14:20,321 회,"2,040,372","57,300","1,936,932","8,533"
200,선독점 다시 싸우는 우주기갑,"현대판타지, SF",NZ,2023.10.23 15:41,2024.06.24 20:30,224 회,"786,163","19,011","1,733,932","3,369"
