,제목,장르,작가,연재 시작일,마지막 연재일,회수,댓글수,추천수,평점
57,갓 오브 블랙필드,판타지,무장,(2015.01.27.),(2024.05.01.),846,"7,612","1,295",9.5
58,신데렐라의 킬힐 [독점],로맨스,체크인,(2016.06.01.),(2017.03.18.),101,457,"1,390",9.6
59,고양이 키스,로맨스,김애정,(2015.03.31.),(2016.03.04.),120,"1,520","1,378",9.5
60,헬로우 웨딩 [독점],로맨스,백묘,(2013.01.15.),(2013.07.10.),67,957,68,9.4
61,황태자의 애완 고양이,로판,캣츠아이&샤아드,(2013.11.06.),(2014.07.02.),121,941,916,9.3
62,남자 사람 친구,로맨스,이경하,(2016.02.03.),(2016.08.10.),55,717,"1,337",9.2
63,마성의 카운슬러,로맨스,이재익,(2014.12.31.),(2015.07.25.),88,757,"1,017",9.2
64,"큐피드, 그대",로맨스,안테,(2014.04.01.),(2014.09.27.),109,863,"1,433",9.3
65,12시의 신데렐라 [독점],로맨스,백우시,(2016.07.07.),(2017.01.05.),83,"1,504","1,406",9.5
66,하얀 늑대들 (개정판) [단행본],판타지,윤현승,(2014.12.03.),(2014.12.04.),48,"1,499","1,724",9.2
67,승은궁녀스캔들,로맨스,김정화,(2016.08.02.),(2019.12.30.),136,"1,196","1,653",9.4
68,파혼은 어떻게 하나요? [독점],로맨스,강하다,(2016.05.06.),(2017.02.10.),101,568,"1,069",9.4
69,발칙한 그 남자 [독점],로맨스,달콤J,(2016.04.05.),(2016.11.12.),103,479,"1,015",9.2
70,나에겐 100퍼센트,로맨스,미리내27,(2015.06.30.),(2015.12.26.),79,399,872,9.2
71,붉은 장미 아가씨,로판,이희신,(2016.03.03.),(2016.07.24.),78,"1,266",950,9.4
72,프로젝트J [독점],판타지,청빙 최영진,(2013.01.15.),(2016.09.16.),156,"1,276",448,8.7
73,강철의 열제 [단행본],판타지,가우리,(2012.12.28.),(2012.12.28.),21,"1,025",838,9.1
74,묵향 [단행본],무협,전동조,(2013.12.02.),(2022.11.17.),37,"1,783",735,6.5
