,제목,장르,작가,연재 시작일,마지막 연재일,회수,조회수,추천수,글자수,선작수
38,선독점 북부 전선의 고인물,"판타지, 전쟁·밀리터리",데거스,2024.05.08 13:33,2024.06.21 11:20,62 회,"1,583,714","36,457","384,734","11,403"
39,선독점 턴제의 마법사,"판타지, 퓨전",정따블,2024.01.21 15:05,2024.06.21 08:20,135 회,"1,908,660","93,085","874,305","17,446"
40,선독점 제국 경비대의 망나니 소드마스터,"판타지, 퓨전",사탕꽃,2024.01.24 08:33,2024.06.20 18:20,134 회,"2,718,722","73,730","926,015","19,511"
41,선독점 대영제국에서 작가로 살아남기,"대체역사, 퓨전",고스름도치,2023.05.10 18:01,2024.06.20 18:00,311 회,"2,826,718","128,629","1,763,658","12,991"
42,선독점 화학천재의 비밀 투자 공식,"현대판타지, 판타지",율려(律呂),2023.12.31 14:44,2024.06.21 14:00,156 회,"2,919,357","80,601","919,171","14,980"
43,선독점 메디치 가문의 사생아가 너무 유능함,"대체역사, 현대판타지",르클레르,2024.04.02 21:58,2024.06.20 23:59,95 회,"823,137","24,941","530,327","5,938"
44,선독점 돌팔이 의사 자크 지라르,"판타지, 퓨전",담하이데,2024.03.27 16:27,2024.06.20 22:30,75 회,"596,995","24,418","539,055","5,169"
45,선독점 러스트 [ RUST ],"현대판타지, 판타지",글라딘,2021.07.26 22:15,2024.06.20 20:13,"1,059 회","11,718,796","497,973","6,409,768","30,552"
46,선독점 삼국지 : 내가 영웅의 그릇인가.,"대체역사, 퓨전",엠보돌,2023.12.04 17:00,2024.06.21 09:45,169 회,"1,289,630","46,045","981,979","6,838"
47,선독점 하남자 헌터의 셀프육성법,"퓨전, 판타지",데프프픗,2024.05.08 10:02,2024.06.20 19:00,63 회,"871,606","29,417","342,785","6,868"
48,선독점 절대독공으로 SSS급 헌터,"현대판타지, 퓨전",차성,2024.03.12 19:20,2024.06.20 20:59,94 회,"1,662,767","36,722","598,546","8,768"
49,선독점 축구부 방출 후 천재 투수가 되었다,"스포츠, 현대판타지",유선강,2024.02.24 17:01,2024.06.20 21:00,121 회,"1,481,455","37,445","703,454","7,746"
50,선독점 천만년만에 귀환한 무신님,"퓨전, 현대판타지",맛깔란,2024.02.20 18:55,2024.06.20 17:00,135 회,"2,151,604","47,587","853,023","10,306"
51,선독점 회귀한 재벌은 미국을 사기로했다,"판타지, 현대판타지",연태량,2024.03.18 01:15,2024.06.20 20:20,114 회,"766,174","19,539","636,828","4,560"
52,"선독점 로큰롤, 발 없는 새가 되다","현대판타지, 판타지",경우勁雨,2024.02.23 02:28,2024.06.21 12:00,244 회,"1,147,030","44,672","1,308,026","5,499"
53,선독점 조선왕자가 미국갔다 안 돌아옴,"대체역사, 퓨전",누텔라.,2022.05.21 22:19,2024.06.20 19:05,545 회,"3,328,353","126,045","3,557,249","10,091"
54,선독점 겨우 강해졌는데 회귀해버림,"현대판타지, 퓨전",수국칼,2024.02.12 20:26,2024.06.20 23:00,133 회,"2,564,524","58,397","716,672","13,456"
55,선독점 은퇴한 헌터의 아포칼립스,"현대판타지, 게임",디다트,2023.12.26 13:35,2024.06.21 12:00,160 회,"2,431,613","66,347","1,101,462","15,534"
56,선독점 피지컬 괴물 수비수가 EX급 시야를 얻음,스포츠,천달,2024.04.25 19:19,2024.06.20 23:00,54 회,"803,226","15,891","303,321","5,833"
57,선독점 역천의 대한민국!,"대체역사, 전쟁·밀리터리",강바기,2023.02.20 17:53,2024.06.20 19:00,357 회,"2,772,122","76,132","1,951,018","9,284"
