,제목,장르,작가,연재 시작일,마지막 연재일,회수,조회수,추천수,글자수,선작수
155,선독점 절대자(絶對者),무협,미송검,2017.06.08 21:17,2017.10.02 15:45,114 회,"654,237","16,450","661,051","1,100"
156,선독점 검황이 친오빠로 환생했다.,"현대판타지, 무협",운좋은놈,2023.06.09 16:30,2023.12.01 05:37,126 회,"1,529,325","34,697","737,699","6,443"
157,선독점 하북팽가 역대급 무공 천재,무협,이온,2023.10.22 19:20,2024.03.13 07:20,174 회,"689,210","12,601","918,096","1,994"
158,선독점 독룡(毒龍),무협,北天侯,2018.04.09 22:27,2022.01.12 23:14,196 회,"146,400","2,466","1,138,976",290
159,쌍룡무쌍,무협,건드리고고,2019.01.28 11:56,2019.01.28 11:56,325 회,"28,218",179,"2,107,117",133
160,선검유협,무협,일학,2015.09.15 15:01,2016.09.14 20:00,249 회,"296,912","16,670","1,522,111",409
161,선독점 절대지존(개정판),무협,금강,2019.06.30 05:20,2019.08.26 17:00,100 회,"209,414","3,458","529,247",578
162,선독점 재벌가 무신님 귀환하셨다,"퓨전, 무협",강철민,2022.10.14 18:08,2023.09.22 18:00,265 회,"1,929,226","40,102","1,359,673","6,285"
163,선독점 현대 무림 견문록,"무협, 현대판타지",선불,2021.05.12 23:31,2022.12.28 22:05,151 회,"3,177,674","90,700","921,405","15,186"
164,선독점 비정자객사,무협,민수珉洙,2013.07.10 00:06,2014.02.10 23:24,120 회,"468,958","20,588","840,574","1,269"
165,선독점 환생 무림왕,무협,남운™,2023.05.08 20:00,2024.04.11 20:00,340 회,"175,116","2,433","1,716,271",429
166,선독점 강호기담록 서환전,"무협, 판타지",도서관식객,2023.09.14 16:02,2024.03.01 06:05,125 회,"374,909","13,990","671,877","1,899"
167,선독점 국선 헌터가 아포칼립스를 찢음,"현대판타지, 무협",맨발의시인,2024.04.02 15:27,2024.06.25 10:00,94 회,"106,859","1,767","526,799",359
168,전생마인,무협,보용도,2021.02.25 12:34,2021.02.25 15:33,401 회,"121,333","1,258","2,471,391",594
169,선독점 염선백규(炎仙白虯),무협,어가빙,2023.11.02 11:07,2024.05.30 00:00,350 회,"17,686",413,"1,902,107",123
170,선독점 환생무신록,무협,다원.,2021.07.17 22:42,2021.12.23 18:10,151 회,"1,816,417","44,888","927,664","6,933"
