,제목,장르,작가,연재 시작일,마지막 연재일,회수,조회수,추천수,글자수,선작수
33,선독점 천재 배우가 재벌 여친을 안 숨김,"현대판타지, 드라마",kangyou,2023.11.15 22:32,2024.06.07 19:50,171 회,"677,807","16,066","1,042,782","3,274"
34,선독점 고졸 변호사가 경력을 숨김,"현대판타지, 드라마",24도,2023.05.10 10:03,2024.06.25 04:18,347 회,"1,015,874","19,981","2,001,725","2,928"
35,선독점 하늘빛 아이돌,"현대판타지, 드라마",파인블루,2024.02.26 18:03,2024.06.24 20:00,106 회,"254,674","7,992","567,693","1,747"
36,선독점 일타매칭 최강 결정사,"현대판타지, 드라마",서인하,2023.07.29 12:42,2023.11.27 13:00,200 회,"1,105,180","49,668","1,314,554","5,872"
37,선독점 음악 천재 뮤직 엔지니어,"현대판타지, 드라마",불요관,2023.12.03 00:14,2024.06.25 12:20,208 회,"496,734","14,711","1,263,563","2,253"
38,선독점 일곱 번째 관리자,"현대판타지, 드라마",기사영,2022.10.03 18:00,2024.03.01 19:05,356 회,"613,477","21,240","2,728,190","2,551"
39,선독점 스탯보는 사이비 무당님,"현대판타지, 드라마",포기하지마,2023.05.10 10:05,2024.04.23 13:20,301 회,"1,314,199","39,580","2,043,743","5,278"
40,선독점 재벌집 막내가 음악을 너무 잘함,"현대판타지, 드라마",라이영,2023.02.01 00:02,2024.06.02 12:00,186 회,"1,937,691","47,280","1,138,231","8,063"
41,선독점 이름대로 살련다,"현대판타지, 드라마",SSANTA,2023.05.10 10:10,2024.06.21 07:00,151 회,"555,305","11,804","825,895","1,148"
42,선독점 별들의 별,"현대판타지, 드라마",한태민,2018.05.29 22:00,2018.10.10 22:00,174 회,"2,736,677","68,040","957,413","8,621"
43,선독점 방치형 싱어송라이터 키우기,"현대판타지, 드라마",천우(天雨),2023.10.27 18:20,2024.06.24 08:30,188 회,"1,396,005","38,224","1,143,566","6,978"
44,선독점 위대한 배우를 만드는 회귀론,"현대판타지, 드라마",담은™,2024.02.08 11:56,2024.06.24 19:00,139 회,"250,734","9,206","762,560","1,611"
45,선독점 천재 요리사의 환생,"현대판타지, 드라마",에바트리체,2023.10.17 23:57,2024.06.25 17:00,234 회,"751,101","20,783","1,207,079","3,206"
46,선독점 매니저가 힘을 갖고 돌아왔다,"현대판타지, 드라마",주딩크,2021.05.12 22:07,2021.12.31 12:30,201 회,"2,786,642","61,669","1,230,168","10,408"
47,"선독점 치명적인 남자, 어게인 라이프!","현대판타지, 드라마",울프21,2022.05.11 12:58,2023.01.27 18:00,226 회,"3,606,339","111,792","1,449,195","17,637"
48,선독점 동생이 천재였다.,"현대판타지, 드라마",시하,2021.02.05 12:05,2023.04.04 12:00,227 회,"4,816,002","132,731","1,425,448","23,056"
49,선독점 음악 천재는 퇴사합니다,"현대판타지, 드라마",에레스,2021.12.20 18:52,2022.07.05 17:00,210 회,"3,786,398","88,690","1,229,780","14,540"
50,선독점 채널 마스터,"현대판타지, 드라마",한태민,2017.04.12 20:35,2017.10.23 22:00,376 회,"6,258,186","158,597","2,075,073","12,657"
51,선독점 재혼 후 인생 대박,"현대판타지, 드라마",프란차,2023.12.03 22:20,2024.06.07 14:00,171 회,"415,007","6,999","921,028","1,427"
52,선독점 승승장구 연예계 생활,"현대판타지, 드라마",다작김절필,2019.12.02 06:00,2020.12.05 20:40,376 회,"2,496,714","62,474","2,085,590","7,119"
53,선독점 염력으로 완전범죄,"현대판타지, 드라마",설화담,2021.05.12 10:03,2021.12.25 09:50,222 회,"2,864,287","87,523","1,253,254","13,026"
54,선독점 아역부터 씹어먹는 천재배우님,"현대판타지, 드라마",소수깡,2022.01.16 21:20,2022.11.24 12:30,238 회,"2,076,786","62,427","1,664,403","9,111"
55,선독점 여배우가 사랑하는 천재작가,"현대판타지, 드라마",빅스톤,2022.08.17 18:59,2023.06.27 14:25,235 회,"3,069,340","72,630","1,422,912","12,205"
