,제목,장르,작가,연재 시작일,마지막 연재일,회수,댓글수,추천수,평점
2791,해서는 안 될 사랑 [단행본],로맨스,둘째날,(2024.05.21.),(2024.05.21.),2,0,좋아요,0.0
2792,19금,19금,19금,19금,19금,19금,19금,19금,19금
2793,던전 시스템 좀 해킹하겠습니다,로판,안화,(2024.05.21.),(2024.05.21.),249,0,좋아요,0.0
2794,던전 시스템 좀 해킹하겠습니다 [단행본],로판,안화,(2024.05.21.),(2024.05.21.),9,0,좋아요,0.0
2795,19금,19금,19금,19금,19금,19금,19금,19금,19금
2796,19금,19금,19금,19금,19금,19금,19금,19금,19금
2797,19금,19금,19금,19금,19금,19금,19금,19금,19금
2798,19금,19금,19금,19금,19금,19금,19금,19금,19금
2799,수상한 특별 상궁 [단행본],로맨스,원종,(2024.05.21.),(2024.05.21.),4,0,좋아요,0.0
2800,왕따 그만두고 천재합니다,현판,자론상이,(2024.01.05.),(2024.05.20.),221,"1,061",25,9.4
2801,귀족 유치원의 교사는 오늘도 고달프다 [독점],로판,딸기송떡,(2024.02.17.),(2024.05.20.),126,907,10,9.8
2802,걸신들린 레스토랑 [독점],현판,에바트리체,(2023.09.19.),(2024.05.20.),250,90,2,8.4
2803,무신급 막내가 되었다 [독점],무협,소판양,(2023.06.27.),(2024.05.20.),274,"3,422",24,9.5
2804,현대수선전,현판,오렌,(2023.08.15.),(2024.05.20.),300,553,9,9.0
2805,19금,19금,19금,19금,19금,19금,19금,19금,19금
2806,19금,19금,19금,19금,19금,19금,19금,19금,19금
