,제목,장르,작가,연재 시작일,마지막 연재일,회수,댓글수,추천수,평점
3079,그 여성향 게임은 우리에게 가혹한 세계입니다 [단행본],라이트노벨,미시마 요무,(2023.08.25.),(2024.05.16.),2,1,1,10.0
3080,화산대도 [단행본],무협,송재일,(2024.05.16.),(2024.05.16.),17,1,1,10.0
3081,19금,19금,19금,19금,19금,19금,19금,19금,19금
3082,19금,19금,19금,19금,19금,19금,19금,19금,19금
3083,술김에 황후가 되었습니다 [선공개],로판,거주자,(2021.02.10.),(2024.05.16.),125,"1,486",39,9.3
3084,우리는 헤어졌습니다 [단행본],로맨스,쌈바차차,(2024.05.16.),(2024.05.16.),3,2,5,8.2
3085,당신을 구한 적 없다[단행본],로판,오월비,(2024.05.16.),(2024.05.16.),4,0,좋아요,0.0
3086,19금,19금,19금,19금,19금,19금,19금,19금,19금
3087,19금,19금,19금,19금,19금,19금,19금,19금,19금
3088,19금,19금,19금,19금,19금,19금,19금,19금,19금
3089,천화서고 대공자 [독점],무협,김현영,(2020.09.23.),(2024.05.15.),527,"18,214",332,9.7
3090,아내의 주인 [단행본],로맨스,채우솔,(2024.05.15.),(2024.05.15.),2,0,좋아요,0.0
3091,아내의 주인 [외전][단행본],로맨스,채우솔,(2024.05.15.),(2024.05.15.),1,0,좋아요,0.0
3092,거짓 사이 [독점],로맨스,고슬밥,(2024.04.17.),(2024.05.15.),78,"1,872",3,9.8
3093,전직 이단심문관의 퇴마 방송 [단행본],현판,모옹깡,(2024.05.15.),(2024.05.15.),9,0,좋아요,0.0
3094,지나치게 유능했던 악당의 2회차 [단행본],판타지,사람살려.,(2024.05.15.),(2024.05.15.),11,1,좋아요,0.0
3095,19금,19금,19금,19금,19금,19금,19금,19금,19금
3096,부부의 절정 [독점],로맨스,동그람이,(2024.05.15.),(2024.05.15.),80,"1,004",4,9.7
3097,악녀는 황좌를 탐한다 [독점],로판,REIRAI,(2024.05.15.),(2024.05.15.),226,29,9,9.3
3098,속죄양(贖罪洋) [독점],로맨스,장류정,(2024.05.08.),(2024.05.15.),66,725,6,9.3
3099,아포칼립스에서 나 혼자 생존 게임 [단행본],판타지,heve,(2024.05.15.),(2024.05.15.),8,0,좋아요,0.0
