,제목,장르,작가,연재 시작일,마지막 연재일,회수,댓글수,추천수,평점
58,이혼 후 코인 대박 [단행본],현판,어둠의Dark,(2023.10.23.),(2023.10.23.),10,15,2,9.8
59,절대회귀 [독점],무협,장영훈,(2022.10.19.),(2024.06.21.),448,"50,547",597,9.8
60,전생검신 [단행본],무협,구로수번,(2016.05.19.),(2020.08.05.),62,"2,117","1,180",8.5
61,조선대혁명 [단행본],판타지,다물,(2014.01.10.),(2016.07.04.),47,419,248,7.1
62,스위트룸 [독점],로맨스,고슬밥,(2024.06.19.),(2024.06.19.),78,"1,254",좋아요,9.9
63,365던전한의원 [독점],판타지,대나무집,(2022.07.27.),(2023.01.20.),209,"1,721",87,9.4
64,딸이랑 냥이랑 시골에서 식당합니다,현판,염주,(2024.02.23.),(2024.05.04.),200,151,9,9.4
65,뺏긴 자리에 미련 없습니다 [독점],로판,최아리,(2023.06.13.),(2024.03.12.),220,"3,154",57,8.7
66,내 조선에 세종은 없다,판타지,핏콩,(2023.01.10.),(2024.06.21.),464,"8,253",41,9.6
67,폭풍의 소나타,로맨스,안나(Anna),(2021.09.29.),(2021.11.02.),124,191,18,9.9
68,1993 회귀재벌,현판,소라게,(2019.10.16.),(2020.08.21.),380,"2,077",44,8.5
69,육각형 축구천재가 트로피를 싹쓸이함,현판,쾌조,(2024.05.15.),(2024.06.21.),127,216,좋아요,8.6
70,귀환했는데 입대 전날이다,현판,황금비둘기,(2021.06.17.),(2024.06.24.),218,"3,086",191,8.9
71,왕따 그만두고 천재합니다,현판,자론상이,(2024.01.05.),(2024.05.20.),221,"1,017",23,9.4
72,내 회귀에 빌런은 없다,현판,1인5역,(2024.05.28.),(2024.06.24.),201,57,2,9.0
73,천하당당인 [독점],무협,견마지로,(2023.06.13.),(2024.06.11.),371,994,16,9.1
74,버려진 황자로 편하게 사는 법 [독점],판타지,오프신,(2024.04.02.),(2024.06.24.),121,761,16,9.5
75,사천당가로 회귀한 천재독마,무협,무향(武香),(2023.09.26.),(2024.01.11.),200,"1,377",8,9.4
76,파혼 후 역대급 투자 천재,현판,단골손놈,(2024.06.21.),(2024.06.23.),106,3,1,7.6
77,회귀자의 성공 투자법 [독점],현판,박성호,(2021.09.22.),(2024.06.24.),736,"19,036",144,8.4
78,변경의 죄수는 검성을 꿈꾼다,판타지,Cadilet,(2024.05.27.),(2024.06.23.),130,484,6,9.6
79,방출당한 투수가 금강불괴로 돌아옴,현판,단팥빵소년,(2024.06.05.),(2024.06.24.),147,392,5,8.6
80,완벽한 청혼 [독점],로맨스,송민선,(2024.06.17.),(2024.06.22.),87,212,2,9.5
