,제목,장르,작가,연재 시작일,마지막 연재일,회수,조회수,추천수,글자수,선작수
121,선독점 불꽃의 기사,"판타지, 퓨전",도동파,2020.01.21 11:18,2021.05.13 12:30,428 회,"2,334,504","113,668","3,386,372","9,699"
122,선독점 소설 속 빌런,"현대판타지, 판타지",은형로,2019.01.15 09:50,2024.06.10 14:20,321 회,"2,040,365","57,300","1,936,932","8,533"
123,선독점 은퇴한 소드마스터는 귀농을 꿈꾼다,"판타지, 퓨전",폭파중,2023.12.25 03:55,2024.06.24 20:50,167 회,"1,094,692","25,256","954,366","4,572"
124,선독점 중세 판타지 속 망나니 경비조장,"판타지, 퓨전",곰돌이는,2022.05.11 11:28,2023.03.15 18:00,256 회,"4,388,373","229,933","2,941,672","23,362"
125,선독점 고려에서 만난 조선의 왕,"대체역사, 판타지",TigerFish,2023.11.23 22:32,2024.06.25 12:00,202 회,"250,778","10,110","1,253,503","1,445"
126,선독점 별을 품은 소드마스터,판타지,Q10,2021.03.04 15:15,2022.04.18 17:02,286 회,"3,891,370","151,907","1,753,186","21,750"
127,선독점 검 잡으면 시간이 느려짐,"판타지, 퓨전",조2,2023.11.30 04:15,2024.06.25 11:00,177 회,"772,231","18,394","1,187,173","3,456"
128,선독점 삼국지 : 동탁빙의 후 천하통일 대박,"대체역사, 판타지",로노바,2024.03.04 13:10,2024.06.25 08:20,112 회,"353,348","8,877","629,599","1,705"
129,선독점 아포칼립스의 고인물,"판타지, 현대판타지",슬리버,2019.10.21 12:15,2020.08.27 12:00,287 회,"10,030,628","337,816","1,992,967","37,099"
130,선독점 환생했더니 불에 미친 정령사가 되었다,"판타지, 퓨전",진유(眞鍮),2024.03.31 11:04,2024.06.25 12:00,74 회,"899,185","23,642","432,046","6,190"
131,선독점 주인공 갑질만세!,"현대판타지, 판타지",군만두먹자,2018.08.16 14:11,2024.06.24 19:08,291 회,"4,233,178","92,525","1,846,525","11,132"
132,선독점 불로불사로 산다는 것은,"판타지, 퓨전",겨울에어컨,2023.05.10 10:22,2024.06.24 11:20,195 회,"1,266,639","58,085","1,114,741","12,024"
133,선독점 근본있는 소드마스터,"판타지, 퓨전",.로튼애플.,2024.02.21 15:31,2024.06.25 02:49,122 회,"964,645","23,608","652,856","5,277"
134,선독점 식스센스,"판타지, 현대판타지",영완(映完),2021.07.30 18:42,2023.07.12 18:20,147 회,"2,214,842","65,424","832,735","10,221"
135,선독점 영광의 해일로,"현대판타지, 판타지",하제.,2021.12.20 01:05,2022.11.18 21:20,237 회,"6,689,296","186,929","1,624,819","22,548"
136,선독점 회귀했는데 전생이 다빈치,"현대판타지, 판타지",김내곰,2024.03.24 18:52,2024.06.24 23:00,93 회,"478,529","10,769","551,959","2,719"
137,선독점 은퇴 헌터는 만병통치약을 재배한다,"현대판타지, 판타지",그랫지수,2024.03.15 11:31,2024.06.25 12:00,106 회,"294,829","8,869","636,536","1,726"
138,선독점 공격력 10만배로 초월급 헌터,"현대판타지, 판타지",비루리,2024.05.08 10:09,2024.06.24 20:00,53 회,"613,805","11,790","294,760","3,380"
139,선독점 종말의 바바리안,"판타지, 현대판타지",도동파,2023.04.24 08:00,2023.12.09 13:30,214 회,"1,940,462","89,978","1,440,180","11,180"
140,선독점 환생좌,"현대판타지, 판타지",ALLA,2015.12.02 21:00,2024.03.22 23:00,533 회,"17,088,382","594,798","3,121,543","35,392"
141,선독점 판타지 속 천재 기사로 살아가는 법,"판타지, 퓨전",절필방지,2023.12.26 14:40,2024.06.24 19:31,138 회,"1,774,204","36,701","828,828","7,576"
142,선독점 절대 검감(絶對 劍感),"무협, 판타지",한중월야,2019.04.01 10:02,2020.05.12 09:25,356 회,"15,500,748","465,525","2,489,003","41,469"
143,선독점 기생 스킬로 자동 사냥,"판타지, 현대판타지",오툼,2024.02.26 20:52,2024.06.25 13:00,122 회,"736,235","14,718","620,402","3,677"
144,선독점 천재 타자가 강속구를 숨김,"스포츠, 판타지",이블라인,2021.02.25 21:00,2022.04.29 20:50,385 회,"13,954,067","400,454","2,631,706","30,069"
145,선독점 이혼 후 인생이 달라졌다.,"현대판타지, 판타지",메인작가,2023.12.18 23:38,2024.06.24 23:48,145 회,"1,710,891","28,016","766,215","5,591"
146,선독점 마피아로 조선 독립,"대체역사, 판타지",LunStellar,2022.06.14 10:00,2024.06.21 08:00,501 회,"1,248,524","31,803","2,923,140","4,101"
147,선독점 빌어먹을 환생,"퓨전, 판타지",목마,2020.08.17 12:00,2023.01.21 12:00,626 회,"12,374,237","418,607","4,902,344","40,288"
148,미래를 보는 투자자,"판타지, 현대판타지",박성호™,2017.09.27 17:05,2020.04.22 17:55,522 회,"18,884,952","312,634","3,082,904","21,816"
149,선독점 뒷산파고 1000조 골드재벌,"판타지, 현대판타지",폰작가,2023.12.11 08:35,2024.06.25 07:20,187 회,"1,103,573","25,280","1,036,261","5,085"
150,선독점 망겜의 SSS급 헌터,"판타지, 퓨전",글국,2024.03.14 15:34,2024.06.24 19:10,138 회,"515,822","8,769","725,306","2,409"
151,선독점 초능력 형사가 범인을 다 잡음,"현대판타지, 판타지",글로장생.,2024.02.14 12:04,2024.06.24 19:00,100 회,"461,744","12,524","598,241","2,739"
152,선독점 사천당가 침술명의가 되었다,"무협, 판타지",주문향,2024.01.15 23:06,2024.06.24 20:00,166 회,"1,501,499","39,133","1,037,641","6,531"
153,선독점 귀환 첫날 아포칼립스가 열렸다,"현대판타지, 판타지",편몽,2021.12.20 08:30,2023.05.26 19:30,509 회,"2,458,952","71,902","2,843,809","8,611"
154,선독점 기프티드 (GIFTED),"현대판타지, 판타지",도서관식객,2018.07.23 17:52,2020.10.19 17:05,386 회,"4,855,831","159,536","2,348,947","14,887"
155,선독점 사천당가로 회귀한 천재독마,"무협, 판타지",무향(武香),2023.05.10 10:08,2024.01.11 19:20,200 회,"1,299,476","32,465","1,064,262","5,573"
156,선독점 무림서부,"무협, 판타지",컵라면.,2020.11.16 19:00,2022.01.17 20:11,272 회,"6,167,695","308,333","1,899,312","25,481"
157,선독점 전능의 눈을 얻었다,"퓨전, 판타지",글첨지,2023.10.20 21:00,2024.06.25 17:00,212 회,"1,492,787","32,721","1,288,416","6,003"
158,선독점 이세계 산업역군 네크로맨서,"판타지, 퓨전",벼루입니다,2024.01.21 06:56,2024.06.25 10:00,128 회,"739,327","20,714","686,607","3,876"
159,선독점 망겜에 갇힌 고인물,"판타지, 퓨전",체엔,2021.04.13 06:55,2024.06.24 20:59,806 회,"2,301,314","117,379","5,194,325","10,737"
160,선독점 천억 볼트의 플레이어,"현대판타지, 판타지",오리튼튼,2024.03.09 10:05,2024.06.24 18:55,92 회,"865,396","16,424","561,265","4,774"
161,선독점 음악천재의 힐링 라이프,"현대판타지, 판타지",라모,2023.05.13 09:05,2024.05.07 12:15,253 회,"1,735,396","58,320","1,822,285","7,655"
162,선독점 귀향한 먼치킨의 여행방송,"현대판타지, 판타지",배고픈신발,2024.02.19 19:44,2024.06.24 19:00,127 회,"662,618","16,464","820,081","3,900"
163,선독점 이 우주는 고인물이 필요해요,"SF, 판타지",대형수상함,2023.06.26 19:00,2024.02.28 19:00,200 회,"1,224,106","41,587","1,223,174","6,538"
164,선독점 현질로 S급 소드마스터,"판타지, 퓨전",놋버,2024.01.11 12:05,2024.06.25 12:20,148 회,"1,395,165","26,484","834,956","6,563"
165,선독점 스펠릭의 사냥꾼,"판타지, 퓨전",zaksalking,2023.06.02 23:20,2024.06.21 01:23,328 회,"976,689","33,977","1,925,574","4,055"
166,선독점 망한 아이돌의 역주행 귀농 라이프,"현대판타지, 판타지",학이선,2023.12.11 01:15,2024.06.25 00:00,184 회,"845,744","25,777","965,834","3,865"
167,선독점 나혼자 각성,"현대판타지, 판타지",귀농재벌,2024.03.01 15:45,2024.06.24 19:46,120 회,"434,887","7,712","714,454","1,152"
168,선독점 13서클 대마법사의 유산을 얻었다!,"판타지, 현대판타지",고독한아재,2023.10.04 23:05,2024.06.21 23:50,192 회,"1,740,988","36,095","1,006,261","7,191"
169,선독점 나는 혈마다,"무협, 판타지",중산박,2024.02.02 16:41,2024.06.24 22:50,145 회,"559,162","11,340","840,382","1,730"
170,선독점 무한 인벤토리 들고 무한회귀,"현대판타지, 판타지",중원(衆員),2023.06.30 22:20,2024.05.08 13:20,345 회,"1,565,118","37,571","2,249,642","6,434"
171,선독점 잘 키운 마수 하나 열 헌터 안 부럽다!,"판타지, 현대판타지",말을하다말,2021.10.19 23:39,2022.06.25 15:00,203 회,"396,695","8,233","1,113,373","1,759"
172,"선독점 방원아, 너의 자리는 없다.","대체역사, 판타지",소리아비,2024.03.26 11:00,2024.06.23 18:00,85 회,"291,266","6,814","460,983","1,461"
173,선독점 유령 열차를 탄 회귀자,"판타지, 현대판타지",높푸름,2023.12.04 00:05,2024.06.25 00:00,212 회,"515,535","19,950","1,267,056","3,119"
174,고려는 천조국이 되기로 하였습니다,"판타지, 대체역사",소라게,2024.05.08 09:04,2024.05.09 13:08,280 회,"8,031",10,"1,534,728",57
175,선독점 검찰청 후레자식,"현대판타지, 판타지",조선생님,2023.08.27 10:20,2024.05.07 11:00,201 회,"1,860,934","39,181","1,129,353","7,681"
176,선독점 엠파이어 오브 나이트(Empire Of Knight),"판타지, 퓨전",동쪽사람,2018.12.24 12:00,2019.09.07 12:00,176 회,"1,720,560","49,955","1,020,608","6,376"
177,선독점 천재가 된 재벌가 사생아는 말단 사원으로 시작한다,"현대판타지, 판타지",머리아픈이,2023.11.22 20:25,2024.06.25 11:00,220 회,"530,969","9,260","1,289,019","1,519"
178,선독점 검마 2510호,"퓨전, 판타지",법화,2023.09.19 19:00,2024.06.24 19:00,271 회,"824,294","18,001","3,785,337","2,172"
179,선독점 로판에서 살아남기,"판타지, 로맨스",코리타,2023.04.01 20:00,2024.01.05 20:00,177 회,"1,787,096","85,604","1,421,120","15,268"
180,선독점 나노 마신(喇勞 魔神),"무협, 판타지",한중월야,2017.06.26 10:52,2018.05.16 21:18,342 회,"15,711,912","373,355","2,274,671","54,536"
181,선독점 강남 큰손 이야기,"판타지, 현대판타지",악중선,2017.10.13 20:19,2018.10.31 21:06,501 회,"3,874,419","92,417","2,567,964","6,086"
182,선독점 이계 내가 가 봤는데 별거 없더라,"퓨전, 판타지",현철(鉉哲),2019.02.17 23:42,2020.02.10 08:05,567 회,"5,602,311","215,565","3,273,937","14,475"
183,선독점 신이 된 삼촌의 힐링라이프,"현대판타지, 판타지",호야(乎也),2023.12.03 23:43,2024.06.20 12:39,202 회,"900,577","18,972","1,080,249","3,836"
184,선독점 아포칼립스에서 마트합니다,"현대판타지, 판타지",짹짹짹,2023.09.22 21:15,2024.06.25 12:20,215 회,"888,826","24,044","1,417,263","4,711"
185,선독점 신대륙의 제왕,"판타지, 퓨전",Rovin,2023.12.04 12:20,2024.05.28 17:39,196 회,"2,280,416","83,723","1,248,674","11,884"
186,선독점 괴물 사냥 도감,판타지,편곤,2023.10.23 11:10,2024.06.23 20:57,154 회,"355,745","18,869","797,559","3,937"
187,무한전생:사냥꾼 아크,"판타지, 퓨전",광악,2019.03.12 17:21,2020.02.18 08:46,283 회,"1,749,325","47,428","1,568,004","6,008"
188,선독점 변경 땅의 영주님,"판타지, 퓨전",32일,2023.07.14 07:08,2024.05.31 23:55,319 회,"1,184,872","30,403","1,828,720","3,641"
189,선독점 아포칼립스의 식량창고가 되었다.,"현대판타지, 판타지",에덴Y,2023.07.27 17:30,2024.06.11 18:00,173 회,"969,055","19,328","929,161","4,513"
190,선독점 빌런의 프로그래밍,"현대판타지, 판타지",삼락검,2023.01.06 17:48,2024.06.24 18:00,366 회,"3,412,089","94,271","2,820,045","13,218"
191,선독점 강철의 용병,"현대판타지, 판타지",병장개미,2021.01.01 19:43,2022.10.05 12:30,527 회,"4,124,188","135,814","3,050,396","13,523"
192,선독점 기프트가 너무 많다,"판타지, 퓨전",칼튼90,2023.12.06 16:39,2024.06.25 12:00,154 회,"1,694,921","33,009","816,500","5,823"
193,선독점 파리를 잡았더니 초월급 헌터가 되었다,"현대판타지, 판타지",소백린,2023.11.21 07:20,2024.06.24 20:30,203 회,"1,339,891","28,340","1,251,402","7,321"
194,선독점 방랑기사로 살아가는 법,"판타지, 퓨전",글쓰는기계,2020.01.21 21:34,2021.04.29 23:00,384 회,"14,363,584","550,761","2,285,246","39,726"
195,선독점 무직용사,"판타지, 퓨전",도동파,2022.04.24 07:02,2023.01.04 10:00,257 회,"2,359,206","109,063","1,786,115","12,650"
196,선독점 음악천재가 돌아왔다,"현대판타지, 판타지",원즈이,2022.05.20 18:20,2022.12.07 18:20,165 회,"1,341,455","34,056","931,425","6,211"
197,"선독점 은퇴 헌터, 해남 되다","현대판타지, 판타지",귤잠꾼,2024.02.16 14:12,2024.06.25 01:30,110 회,"388,272","9,348","714,962","1,893"
198,선독점 지나치게 유능했던 악당의 2회차,"퓨전, 판타지",사람살려.,2023.05.10 10:08,2024.01.08 20:00,229 회,"1,640,945","63,831","1,492,386","11,234"
199,선독점 알브레히트 일대기,"판타지, 퓨전",도동파,2019.04.26 01:58,2019.10.03 16:00,268 회,"3,792,387","114,834","1,727,734","13,985"
200,선독점 이세계 흙수저 선원으로 살아남기,"판타지, 전쟁·밀리터리",필부지용,2021.06.06 19:27,2024.05.17 18:25,571 회,"1,151,999","36,197","3,904,947","3,582"
