,제목,장르,작가,연재 시작일,마지막 연재일,연재수,댓글수,추천수,평점,Site
0,불로불사로 산다는 것은,판타지,겨울에어컨,2023-11-29,2024-06-27,196,1710,23,8.8,NaverSeries
1,천마홈즈 런던앙복,무협,옴니버,2023-03-28,2024-06-27,394,5977,125,8.7,NaverSeries
2,이름대로 살련다,현판,SSANTA,2023-12-06,2024-06-27,151,40,2,9.3,NaverSeries
3,부패의 사제,판타지,사다듬,2020-12-17,2024-06-27,375,3587,116,8.8,NaverSeries
4,불로불사가 사는 법,현판,Neuf,2023-01-24,2024-06-27,409,4169,30,9.3,NaverSeries
5,턴제의 마법사,판타지,정따블,2024-05-17,2024-06-27,139,1126,9,9.6,NaverSeries
6,파브르 in 사천당가,무협,에르훗,2024-01-09,2024-06-27,273,5278,22,9.6,NaverSeries
7,칭찬스티커 받는 종,판타지,문환,2024-02-28,2024-06-27,186,1731,6,9.8,NaverSeries
8,짜장 한 그릇에 제갈세가 데릴사위,무협,에르훗,2022-10-21,2024-06-27,691,17221,99,9.6,NaverSeries
9,망겜에 갇힌 고인물,판타지,체엔,2021-11-19,2024-06-27,807,5570,28,9.9,NaverSeries
10,삼류 마이너리거가 공을 잘 봄,현판,노메이껍,2024-04-18,2024-06-27,170,48,5,9.1,NaverSeries
11,언더핸드로 160Km를 던지게 되었다,현판,전성기,2024-03-12,2024-06-27,208,210,3,7.6,NaverSeries
12,케이팝 씹어먹는 천재 작곡가,현판,이신유,2024-04-03,2024-06-27,195,572,14,9.4,NaverSeries
13,축구천재들의 재능을 삼켰다,현판,저니환,2024-05-14,2024-06-27,191,210,0,8.3,NaverSeries
14,은퇴 코더가 빅테크를 사버림,현판,SOKIN,2024-01-30,2024-06-27,226,864,25,7.5,NaverSeries
15,방출당한 투수가 금강불괴로 돌아옴,현판,단팥빵소년,2024-06-05,2024-06-27,153,415,5,8.6,NaverSeries
16,흙수저 작곡천재의 곡이 너무 잘 팔림,현판,주파,2024-06-21,2024-06-27,111,75,1,8.1,NaverSeries
17,회귀헌터는 잘 살고 싶다,현판,보리네집사,2023-07-17,2024-06-27,313,138,7,8.8,NaverSeries
18,재벌에서 광복군까지,판타지,빛나는구름,2023-10-16,2024-06-27,425,188,5,9.1,NaverSeries
19,미래의 황제를 갈아치웠다,판타지,새우강도단,2024-03-26,2024-06-27,136,528,5,9.8,NaverSeries
20,검 잡으면 시간이 느려짐,판타지,조2,2024-04-26,2024-06-27,179,65,3,8.3,NaverSeries
21,천재가 된 재벌가 사생아는 말 사원으로 시작한다,현판,머리아픈이,2024-05-28,2024-06-27,222,23,3,7.8,NaverSeries
22,살수천하(殺手天下),무협,유대하,2024-04-23,2024-06-27,115,15,3,9.9,NaverSeries
23,자를 위한 연중작은 없다,판타지,A사과,2022-07-27,2024-06-27,461,1709,6,9.1,NaverSeries
24,재벌 3세는 조용히 살고 싶다,현판,SSDHDD,2020-09-16,2024-06-27,1584,667,21,7.3,NaverSeries
25,"나를 혐오하세요, 공작님",로판,이초원,2024-04-03,2024-06-27,139,58,6,8.8,NaverSeries
26,용사의 옆집에 산다는 것,판타지,세트앙크,2021-10-08,2024-06-27,722,579,9,8.7,NaverSeries
27,"언니, 이번 생엔 내가 왕비야",로판,레팔진프,2020-12-06,2024-06-27,602,72590,2374,7.5,NaverSeries
28,주인공 갑질만세!,현판,군만두먹자,2022-04-04,2024-06-27,293,551,7,7.6,NaverSeries
29,EX급 창고를 얻었다,판타지,한손검,2024-06-19,2024-06-27,117,158,2,7.7,NaverSeries
30,AI 나노봇으로 농사를 딸깍,현판,따상,2024-06-26,2024-06-27,102,24,1,7.8,NaverSeries
