,제목,장르,작가,조회수,댓글,연재수,연재 시작일,최신 연재일,평점
1152,아기는 악당을 키운다,로맨스판타지,리샤,240000000,349000,366,2018-10-19,2013-11-20,9.9
1153,버림받고 즐기는 소박한 독신의 삶,로맨스판타지,박귀리,39277000,63000,328,2013-12-19,2026-07-23,10.0
1154,악당을 바르게 키워보겠습니다,로맨스판타지,한나비,938000,998,105,2003-06-24,2026-06-24,9.8
1155,악녀 부활 24시,로맨스판타지,리사벨,9790000,13000,195,2031-12-21,2004-06-24,9.8
1156,아기용이 공작가를 살림,로맨스판타지,설이린,3312000,3386,185,2002-12-23,2008-06-24,9.8
1157,왕은 길 위에서 태어난다,로맨스판타지,이보라,11990000,17000,239,2002-07-22,2011-03-23,10.0
1158,그 쓰레기가 나였어요,로맨스판타지,꿀이흐르는,3181000,3023,181,2016-02-24,2017-06-24,9.5
1159,남주의 엄마가 되어버렸다,로맨스판타지,고은채,39030000,64000,221,2016-11-19,2010-12-20,10.0
1160,사랑받는 막내는 처음이라,로맨스판타지,미래나비,18069000,14000,258,2028-01-21,2006-03-24,10.0
1161,K-장녀가 육아물에 빙의하면,로맨스판타지,치즈와플,5265000,4342,206,2011-06-22,2023-10-23,9.8
1162,악당들에게 키워지는 중입니다,로맨스판타지,자은향,43353000,30000,186,2028-02-22,2007-06-23,9.9
1163,폭군에게 차이는 10가지 방법,로맨스판타지,서귀조,8586000,11000,162,2004-11-20,2006-07-23,9.9
1164,천하제일 가문으로 키우겠습니다,로맨스판타지,자여경,2308000,1676,200,2014-01-24,2026-06-24,9.8
1165,겨울성의 아기 죄수님,로맨스판타지,류희온,15256000,12000,233,2012-01-23,2004-02-24,9.9
1166,던전 호텔에 오신 것을 환영합니다,로맨스판타지,이그나르,23859000,27000,385,2011-07-22,2014-05-24,9.9
1167,입양된 며느리는 파양을 준비합니다,로맨스판타지,채유화,46881000,33000,311,2028-02-21,2031-10-23,9.9
1168,악녀의 회귀는 저주와 함께한다,로맨스판타지,몬들러,40000,94,82,2025-06-24,2027-06-24,9.7
1169,이 가문은 막내가 살립니다,로맨스판타지,마랭,10296000,5041,289,2030-06-23,2025-06-24,9.8
1170,이 결혼은 반드시 성공합니다,로맨스판타지,마지노선,15355000,12000,311,2006-01-23,2017-01-24,9.9
1171,최강자 오빠가 기억을 잃었다,로맨스판타지,유나진,29714000,20000,256,2002-06-23,2009-11-23,9.8
1172,진짜 성녀님을 찾습니다,로맨스판타지,리르엔,427000,430,106,2011-06-24,2027-06-24,9.5
1173,최강자 공작님의 하나뿐인 손녀딸입니다,로맨스판타지,김노랑,2766000,1695,199,2026-01-24,2007-06-24,9.6
1174,피폐 역하렘 남주들의 막내 처제가 되었다,로맨스판타지,매드럼,3115000,2842,202,2006-07-23,2012-03-24,9.9
1175,돈으로 약혼자를 키웠습니다,로맨스판타지,연서나,39836000,37000,213,2006-11-19,2001-01-24,9.9
1176,힘을 숨기고 즐기는 평화로운 하녀 생활,로맨스판타지,박귀리,22703000,26000,202,2006-09-22,2027-12-23,10.0
1177,버림받은 황자의 유령 신부,로맨스판타지,현솔,4080000,3248,166,2007-08-23,2030-01-24,9.8
1178,녹음의 관,로맨스판타지,시야,89021000,54000,154,2029-12-17,2004-01-19,9.9
1179,집착 황제의 유능한 약사입니다,로맨스판타지,솔깃,3207000,5387,159,2008-01-22,2029-05-24,9.7
1180,곧 망할 가문의 계약직 딸이 되었다,로맨스판타지,하라쇼,5592000,4848,133,2026-08-22,2004-05-24,9.9
1181,남주가 내 후원을 좋아해!,로맨스판타지,주예령,3488000,7778,150,2016-08-21,2028-11-23,9.9
1182,반려견이 반려를 물어옴,로맨스판타지,온나달,578000,643,122,2028-05-24,2027-06-24,9.7
1183,황제궁 옆 마로니에 농장,로맨스판타지,정연,61949000,67000,271,2020-12-17,2028-05-22,10.0
1184,여주인공에게 내 몸을 빼앗겼다,로맨스판타지,정마카롱,106000,181,88,2020-06-24,2026-06-24,9.7
1185,악녀는 마리오네트,로맨스판타지,한이림,71650000,42000,210,2007-12-18,2023-10-22,9.9
1186,모용세가의 사라진 딸이 돌아왔다,로맨스판타지,홍세우,15967000,13000,334,2020-04-21,2029-01-23,9.8
1187,언니는 여동생을 바르게 키워야 합니다,로맨스판타지,독연,12361000,12000,190,2013-01-22,2019-02-24,9.8
1188,토끼와 흑표범의 공생관계,로맨스판타지,야식먹는중,64078000,74000,186,2030-11-19,2008-10-23,10.0
1189,독고세가의 멸문을 막아 보겠습니다,로맨스판타지,명초,1129000,1151,211,2002-02-24,2026-06-24,9.7
1190,에리카 - 친구가 내게 집착할 때,로맨스판타지,제늬,10418000,12000,155,2018-07-23,2014-10-23,9.9
1191,여주가 내 약혼자와 바람났다,로맨스판타지,설이린,24771000,27000,214,2028-01-22,2001-09-23,9.9
1192,후회물 악녀는 이혼해서 행복합니다,로맨스판타지,모예리,4312000,5191,147,2027-06-22,2029-04-24,9.8
1193,악녀는 대공을 사로잡았다,로맨스판타지,뺩,16760000,17000,232,2014-09-20,2024-02-24,9.9
1194,가짜 아내에게 왜 집착하세요?,로맨스판타지,DD,24542000,21000,146,2022-08-21,2001-08-23,9.9
1195,악녀님의 최애로 간택된 사정,로맨스판타지,Rana,14430000,9320,187,2031-08-23,2026-01-24,9.8
1196,친구끼리 이러는 거 아니야,로맨스판타지,쟈화,19105000,21000,188,2003-02-21,2019-11-23,9.9
1197,"이번 생은 제대로 키워 드리겠습니다, 폐하!",로맨스판타지,자하,14868000,18000,310,2029-06-20,2011-12-22,9.9
1198,내 애인은 여주한테 관심 없다고요!,로맨스판타지,세룰리안블루,2428000,5595,300,2011-07-23,2027-06-24,9.7
1199,내 남자 주인공을 지키는 방법,로맨스판타지,서리하,8018000,8339,297,2030-09-20,2018-05-24,9.8
1200,남주가 제 건강에 집착합니다,로맨스판타지,윤슬,5251000,4969,279,2006-10-23,2025-06-24,9.6
1201,대공비가 된 마탑주,로맨스판타지,라스cca,2486000,1859,237,2021-09-22,2018-04-24,9.8
1202,여왕님 안 돼요!,로맨스판타지,자야,9505000,16000,195,2018-02-19,2009-02-22,10.0
1203,꽃을 피우는 아기 가주님,로맨스판타지,은려원,16345000,11000,234,2012-05-21,2030-09-23,9.9
1204,중부 황제,로맨스판타지,투머치텐션,1087000,2365,128,2025-12-23,2015-02-24,10.0
1205,악역 소녀는 사랑받기가 부끄러워요,로맨스판타지,류희온,15990000,16000,249,2012-03-21,2017-02-23,9.9
1206,지속 가능한 방탕함을 위하여,로맨스판타지,단리한,961000,684,158,2008-04-24,2024-06-24,9.7
1207,주치의는 할 일 다 하고 사표 씁니다,로맨스판타지,유나진,720000,1519,99,2005-05-22,2004-06-22,10.0
1208,사천당가의 시비로 살아남기,로맨스판타지,Molae,30443000,33000,352,2022-12-22,2002-05-24,9.9
1209,네가 나를 좋아했으면 해,로맨스판타지,박귀리,2673000,2698,131,2022-03-24,2026-04-24,9.8
1210,브리움 가문의 가짜 영애,로맨스판타지,세이료우,1246000,1811,327,2021-11-22,2026-06-24,10.0
1211,던전 24시 찜질방,로맨스판타지,강포스,1829000,1782,176,2020-02-24,2016-06-24,9.8
1212,아기 다람쥐가 다 잘해요,로맨스판타지,군청주단,14974000,12000,230,2020-06-21,2022-09-22,9.7
1213,전 그냥 내 집 마련이 꿈인데요?,로맨스판타지,여로은,7486000,13000,124,2029-07-22,2011-09-22,9.8
1214,막내가 뭔갈 많이 숨김,로맨스판타지,유유니,20887000,14000,274,2015-09-23,2012-02-24,9.9
1215,악녀는 조용히 살고 싶습니다,로맨스판타지,젤리구미베어,2489000,2190,172,2004-09-23,2022-12-23,9.4
1216,흑화하는 서브 남주의 아내랍니다,로맨스판타지,김뽀삐,13808000,19000,177,2023-11-19,2028-06-23,9.9
1217,아도니스,로맨스판타지,혜돌이,200000000,150000,614,2030-07-15,2009-09-18,9.9
1218,튜린의 릴리엔,로맨스판타지,나유혜,33002000,27000,165,2031-05-19,2030-10-21,9.9
1219,이거 전략게임 아니었나요,로맨스판타지,윤점례,1949000,5142,167,2007-12-21,2015-06-24,9.9
1220,괴도인데 수사관과 위장결혼해 버렸다,로맨스판타지,차보리,7320000,7459,192,2020-08-23,2017-09-23,10.0
1221,악녀는 두 번 산다,로맨스판타지,한민트,84741000,75000,333,2016-02-18,2005-06-20,9.9
1222,황녀가 깽판 침,로맨스판타지,박귀리,9416000,11000,176,2010-02-21,2029-08-23,9.9
1223,악당의 아빠를 꼬셔라,로맨스판타지,달슬,83318000,66000,189,2021-06-18,2004-04-20,9.9
1224,대공가 시집살이 너무 쉬운데요,로맨스판타지,센리,6937000,6080,190,2016-12-21,2013-05-23,9.8
1225,목표는 자수성가입니다,로맨스판타지,김다함,12464000,11000,167,2014-08-20,2017-05-22,9.9
1226,오작교는 싫습니다,로맨스판타지,살오른 곱등이,39602000,73000,229,2010-10-18,2004-12-22,10.0
1227,아기 털 뭉치들이 나만 따라다님,로맨스판타지,로미유,230000,255,115,2009-05-24,2026-06-24,9.9
1228,나의 아이가 죽었다,로맨스판타지,쥐똥새똥,1464000,1134,149,2008-01-24,2026-04-24,9.6
1229,남주의 여자사람친구가 되었다,로맨스판타지,햇살수인,13191000,14000,210,2020-11-20,2008-03-23,9.7
1230,집착은 사양합니다,로맨스판타지,윤여음,1068,3,6,2026-06-24,2026-06-24,10.0
1231,"죽어 줘, 라는 말을 들었다",로맨스판타지,박귀리,5914000,4793,178,2005-05-23,2022-11-23,9.7
1232,"악당 남편과 이혼하려는데, 아이가 생겼다",로맨스판타지,백단,14694000,14000,193,2002-11-20,2024-09-22,9.8
1233,먼치킨 길들이기,로맨스판타지,밀차,8232000,15000,149,2004-01-20,2027-06-23,9.9
1234,수상한 호구를 주우면,로맨스판타지,서가린,1904000,1769,163,2016-05-23,2023-08-23,9.7
1235,남주의 망나니 상사로 빙의했다,로맨스판타지,정오찬,1133000,891,120,2020-05-24,2025-06-24,9.5
1236,빙의한 악녀가 깽판 침,로맨스판타지,은효원,1835000,2131,217,2010-01-24,2027-06-24,9.8
1237,후원이 필요합니다,로맨스판타지,윤여음,16825000,20000,189,2014-09-19,2006-07-22,9.9
1238,당신의 이해를 돕기 위하여,로맨스판타지,이보라,96569000,97000,181,2028-09-19,2007-04-23,10.0
1239,이물질은 나였다,로맨스판타지,권겨을,8832000,6961,255,2016-04-23,2013-01-24,9.5
1240,악역의 딸은 가출을 계획합니다,로맨스판타지,바다C,8293000,6482,210,2006-02-22,2025-03-24,9.8
1241,공포게임 남주와 감금당했다,로맨스판타지,플랑비,7069000,9160,193,2024-12-22,2020-04-24,9.8
1242,악녀 언니가 재력을 숨김,로맨스판타지,진세하,11168000,5723,179,2014-04-23,2025-01-24,9.4
1243,시한부라서 흑막의 며느리가 되었는데,로맨스판타지,유나진,36318000,38000,182,2004-12-20,2020-08-23,9.9
1244,엔젤릭 레이디,로맨스판타지,수수,25090000,24000,235,2020-06-19,2013-02-24,9.9
1245,일단 가족후회물에서 탈주했다,로맨스판타지,문밀화,1113000,1765,187,2027-04-23,2019-05-24,9.9
1246,흑막의 독 감별사가 되겠습니다,로맨스판타지,네모라밍,6011000,11000,204,2006-01-22,2003-11-23,9.9
1247,공무원 헌터의 S급 퇴사일지,로맨스판타지,녹타,20608000,26000,306,2002-05-21,2008-02-24,9.9
1248,각인까지 할 생각은 없었는데요,로맨스판타지,홍저리,620000,397,120,2011-01-24,2004-04-24,9.7
1249,여주의 첫사랑을 빼앗아 버렸다,로맨스판타지,파란맛쿠키,8082000,11000,190,2018-06-22,2031-08-23,9.6
1250,악녀의 정의,로맨스판타지,주해온,51754000,28000,232,2029-07-16,2021-03-20,9.7
1251,이세계의 다차원 칵테일 바,로맨스판타지,그레이프피자,791000,1242,142,2006-05-24,2026-06-24,9.9
1252,아카데미의 두 번 사는 네크로맨서,로맨스판타지,그린글,112000,171,98,2018-06-24,2026-06-24,9.9
1253,세계수의 사랑을 받는 정원사가 되었다,로맨스판타지,ED,1978000,1489,144,2006-12-23,2024-02-24,9.5
1254,"아 하세요, 금수저 들어갑니다",로맨스판타지,포르토피노,27969000,39000,217,2026-07-19,2029-08-21,9.8
1255,미래에서 만나요,로맨스판타지,윤여음,6324000,11000,109,2003-03-17,2025-06-24,9.8
1256,천적을 키워 보도록 하겠습니다,로맨스판타지,KEN,939000,1781,163,2014-03-24,2026-06-24,9.9
1257,오빠를 위해 남주를 꼬셔 보겠습니다,로맨스판타지,양과람,7604000,7860,137,2030-11-21,2025-05-23,9.8
1258,내 남자 주인공의 아내가 되었다,로맨스판타지,겨울잎,38199000,29000,189,2031-08-18,2002-06-23,9.9
1259,흑막의 어린 후원자,로맨스판타지,리아란,9926000,7868,185,2024-07-21,2027-11-22,9.8
1260,물질만능주의 공녀님,로맨스판타지,한이림,5596000,14000,110,2004-01-19,2004-07-19,9.9
1261,후회물 여주인데 멘탈이 너무 강함,로맨스판타지,여로은,8332000,6108,156,2003-07-23,2027-03-24,9.9
1262,남주? 줘도 안 가져요,로맨스판타지,산소비,16317000,39000,160,2024-02-19,2024-07-19,9.9
1263,101번째 고백,로맨스판타지,현솔,4392000,4885,171,2013-04-22,2028-04-24,9.4
1264,전생의 원수가 아빠라고요?,로맨스판타지,라비올리,8623000,11000,196,2026-05-21,2026-09-21,9.9
1265,서브 남주네 기사단장입니다,로맨스판타지,시야,22529000,21000,257,2002-10-20,2030-12-20,9.9
1266,시한부 연인과 비혼 생활 중입니다,로맨스판타지,연서나,9718000,14000,176,2022-05-21,2011-02-24,9.9
1267,폭군 아빠들 때문에 폐업합니다,로맨스판타지,하라쇼,4474000,12000,150,2012-02-21,2016-05-21,9.9
1268,사망 집착 엔딩은 싫습니다,로맨스판타지,청파도,388000,891,134,2011-04-24,2027-06-24,9.9
1269,악역의 편식을 고쳐보겠습니다,로맨스판타지,황금송,706000,669,134,2026-04-24,2018-06-24,9.7
1270,온 우주가 돕는 여동생 시나리오,로맨스판타지,톄제,7272000,11000,198,2002-12-22,2030-08-23,9.8
1271,내 남편이 달라졌어요,로맨스판타지,K유안,10833000,12000,112,2011-09-17,2017-10-17,9.8
1272,빙의자가 다녀간 후,로맨스판타지,재겸,1964000,5799,163,2028-04-22,2026-09-23,9.9
1273,접근 불가 레이디,로맨스판타지,킨,59927000,55000,254,2031-01-19,2014-05-21,9.9
1274,강희,로맨스판타지,전은정,8557000,3101,80,2030-07-14,2030-07-14,9.8
1275,모든 건 아기님 발 아래,로맨스판타지,신양이,3503000,4802,256,2011-01-21,2014-03-23,9.9
1276,서브 남주는 내 침대로 오세요,로맨스판타지,오앤,1891000,4965,171,2020-11-22,2006-04-23,9.8
1277,남주들과 외딴섬에 갇혀버렸다,로맨스판타지,김지아,29762000,35000,243,2031-07-21,2019-08-23,9.9
1278,레이디 베이비,로맨스판타지,주해온,54142000,51000,420,2031-08-17,2019-07-19,9.9
1279,우리 집에 갇혀버린 남주들,로맨스판타지,김지아,11409000,14000,289,2022-07-22,2019-05-24,9.9
1280,백사자 가문의 파랑새 마님,로맨스판타지,김로니,9395000,9179,174,2008-05-21,2025-05-24,9.9
1281,악녀에게 관심을 주지 마세요,로맨스판타지,이인혜,5509000,8648,153,2010-02-20,2003-06-20,9.8
1282,남주의 어장에서 탈출하겠습니다,로맨스판타지,진세하,2423000,2048,131,2024-09-22,2016-04-23,9.5
1283,목표는 금수저로 무병장수하기입니다,로맨스판타지,청송아,10336000,13000,151,2013-04-18,2010-08-18,9.6
1284,전령새 왕녀님,로맨스판타지,한류이,31336000,36000,193,2010-07-17,2022-05-21,9.9
1285,남편을 고를 때는 신중하게,로맨스판타지,유이란,7615000,12000,182,2008-02-21,2014-05-23,9.9
1286,주인공의 여동생이다,로맨스판타지,안경원숭이,23917000,45000,279,2013-09-19,2005-11-22,10.0
1287,악역을 교화시켜 버렸다,로맨스판타지,하르넨,4238000,7268,150,2006-12-20,2023-01-24,10.0
1288,요리하는 마법사,로맨스판타지,퍼플레몬,1387000,2218,144,2022-12-18,2020-10-22,10.0
1289,아기 약사 황녀님,로맨스판타지,은려원,10920000,7123,180,2004-10-21,2022-03-24,9.8
1290,세계수 하숙집에 어서오세요,로맨스판타지,"현솔,Dan",183000,523,224,2007-12-23,2026-06-24,9.6
1291,신데렐라를 곱게 키웠습니다,로맨스판타지,키아르네,83304000,86000,272,2018-05-18,2029-01-19,10.0
1292,야수는 공작을 역조련합니다,로맨스판타지,세계의별,234000,592,151,2017-07-23,2018-10-23,9.9
1293,여주에게 버려진 악당을 구하는 방법,로맨스판타지,연비,21016000,22000,379,2025-01-19,2021-04-22,9.8
1294,악당 아빠를 입양했다,로맨스판타지,윤슬,18191000,24000,197,2027-03-20,2029-05-23,9.9
1295,"안녕하세요, 볼모입니다",로맨스판타지,폴리타,83000,223,277,2025-06-22,2023-01-23,10.0
1296,던전 베이커리,로맨스판타지,치호,1695000,1077,172,2027-11-23,2025-06-24,9.6
1297,망나니 악녀가 돌아왔다,로맨스판타지,자은향,14492000,7404,235,2030-09-23,2020-01-24,9.7
1298,세계 최강자들이 평범한 나에게 집착한다,로맨스판타지,로미유,281000,326,140,2021-12-23,2029-05-24,9.7
1299,악녀님이 남자인 걸 나만 몰라,로맨스판타지,백단,2309000,1577,138,2028-02-24,2004-05-24,9.8
1300,쉬고 싶은 레이디,로맨스판타지,유인(流人),63098000,56000,320,2024-11-17,2015-10-18,9.9
1301,나를 버려주세요,로맨스판타지,자은향,33497000,28000,201,2030-09-18,2017-06-20,9.8
1302,순백의 엘리사벳,로맨스판타지,남유현,18623000,42000,607,2026-07-19,2010-11-23,10.0
1303,언젠가 도망칠 가짜 신부입니다,로맨스판타지,은솔림,2278000,1457,180,2022-07-23,2021-11-23,9.9
1304,진짜 딸이 돌아왔다,로맨스판타지,린아(潾娥),13356000,12000,207,2016-08-20,2030-10-23,9.7
1305,폭군의 애완동물이 되었다,로맨스판타지,견우,7438000,9792,200,2010-09-21,2023-03-22,9.8
1306,죄송한데 제가 일반인이라서요,로맨스판타지,색채,5446000,11000,410,2029-10-21,2022-05-23,9.7
1307,성녀가 아니라 선녀인데요,로맨스판타지,염장이,3016000,3748,138,2026-04-22,2021-12-22,9.9
1308,최종 보스의 애인이라니 오해입니다,로맨스판타지,KEN,31028000,41000,212,2027-01-20,2031-03-23,10.0
1309,꽃길까지 앞으로 한 걸음,로맨스판타지,녹타,36384000,37000,288,2014-06-19,2004-12-21,9.9
1310,주인공의 구원자가 될 운명입니다,로맨스판타지,은소로,52108000,86000,265,2019-07-19,2003-06-22,9.7
1311,서브남 아빠를 지키는 법,로맨스판타지,허니슈,7910000,4504,176,2012-11-22,2012-11-23,9.7
1312,"막내 공녀의 총애를 독차지했더니, 모두 내게 집착한다",로맨스판타지,희윤,14816000,20000,247,2020-02-22,2016-09-22,9.8
1313,"여보, 왜 이혼은 안 되나요?",로맨스판타지,차소희,7863000,9298,142,2004-03-21,2023-04-21,9.5
1314,흑막 약혼자가 내 꽃길을 방해한다,로맨스판타지,오월비,3964000,9006,131,2016-02-22,2025-02-24,9.8
1315,엑스트라 보호자는 퇴장할 타이밍을 놓쳐 버렸다,로맨스판타지,은솔림,3489000,3839,176,2002-08-22,2003-11-22,9.8
1316,"그 어장, 내가 가져보겠다",로맨스판타지,꽃니랑,6378000,7755,314,2018-04-21,2014-11-23,9.9
1317,악녀인데 남주 대신 검을 뽑아버렸다,로맨스판타지,단이로,3038000,3507,210,2020-06-22,2019-01-23,9.8
1318,일타강사 정해 세자빈 되다,로맨스,이인혜,3087000,1727,183,2009-02-24,2023-06-24,9.7
1319,내일의 으뜸 : 선재 업고 튀어,로맨스,김빵,10682000,12000,104,2015-12-19,2016-04-24,9.9
1320,경성 탐정 사무소,로맨스,박하민,5232000,7498,260,2024-01-17,2005-05-17,10.0
1321,버림받은 아기 왕녀로 환생했습니다,로맨스,빅노아,2684000,1902,161,2030-03-24,2016-06-24,9.7
1322,금당귀연,로맨스,풍광제월,367000,127,973,2003-08-23,2003-08-23,10.0
1323,6년 만에 신혼,로맨스,윤단짠,491000,330,102,2026-03-24,2011-06-24,9.8
1324,수보교낭,로맨스,"편방방,화링크",1256000,830,1087,2018-08-23,2018-08-23,10.0
1325,서천 꽃밭에서 온 막내 공주입니다,로맨스,예훤,2040000,1314,211,2011-11-23,2027-06-24,9.9
1326,태자입희지후,로맨스,암향,570000,161,673,2018-04-24,2018-04-24,10.0
1327,말단 후궁의 딸로 태어났습니다,로맨스,월면,45134000,33000,362,2019-03-22,2016-08-23,9.9
1328,바람에 흩날리는 꽃비처럼,로맨스,황지원,452000,278,84,2010-06-24,2010-06-24,9.8
1329,묘우천성,로맨스,겨울버들잎,208000,132,483,2007-06-24,2007-06-24,10.0
1330,적녀의비,로맨스,천령,1192000,257,1781,2013-10-22,2013-10-22,9.6
1331,잉여불숙,로맨스,"의천중,배현",144000,34,309,2010-05-24,2010-05-24,10.0
1332,고십팔랑,로맨스,희행,462000,149,269,2006-12-21,2006-12-21,9.8
1333,선종,로맨스,구습륙,352000,44,532,2029-02-24,2029-02-24,10.0
1334,농녀진주유한생활,로맨스,천묵,704000,144,1047,2022-02-24,2022-02-24,10.0
1335,호연가,로맨스,류도하,9822000,14000,111,2031-05-19,2011-06-23,9.8
1336,빈가녀,로맨스,온유,367000,224,257,2010-06-22,2010-06-22,9.9
1337,장환,로맨스,겨울버들잎,239000,32,418,2012-04-24,2012-04-24,10.0
1338,농가자적 고대생활,로맨스,곡류수,638000,51,504,2015-06-22,2015-06-22,10.0
1339,왕부명,로맨스,남도앵두,776000,347,364,2004-05-22,2004-05-22,10.0
1340,독부부종량,로맨스,"가면적성연,박현주",527000,102,359,2022-12-23,2022-12-23,10.0
1341,후문의비,로맨스,"아흘원보,김지영",4909000,2548,1158,2024-02-23,2024-02-23,9.9
1342,성세의향,로맨스,목영,424000,134,590,2012-01-24,2012-01-24,10.0
1343,성세의비,로맨스,봉경,436000,95,823,2004-02-22,2004-02-22,9.9
1344,사랑은 아프다,로맨스,최현자,158000,78,40,2003-02-14,2003-02-14,8.7
1345,스페셜(special),로맨스,요조,502000,304,50,2031-08-17,2031-08-17,9.3
1346,그대 그늘 아래 머물다,로맨스,성희주,143000,21,25,2020-05-15,2020-05-15,9.9
1347,독의소광비,로맨스,화불선,226000,20,796,2017-08-23,2017-08-23,9.9
1348,제태교총,로맨스,화일비,266000,147,251,2008-02-24,2008-02-24,10.0
1349,후궁계약,로맨스,레죵,75282000,121000,586,2024-02-17,2024-10-22,9.9
1350,재성원령기,로맨스,암향,204000,10,25,2020-07-22,2020-07-22,9.6
1351,명문의녀,로맨스,희행,345000,178,455,2026-07-21,2026-07-21,9.6
1352,장주,로맨스,윈지,211000,104,412,2012-04-24,2012-04-24,10.0
1353,첫사랑입니다만,로맨스,이노,47000,118,66,2027-06-23,2027-06-23,10.0
1354,성세총비,로맨스,화청설,246000,129,285,2001-10-21,2001-10-21,9.7
1355,날 죽인 원수의 태자비가 되었다,로맨스,빌레인,119000,152,145,2024-04-24,2027-06-24,10.0
1356,"하련, 되돌아오다",로맨스,mucury,125000,84,125,2008-08-22,2008-08-22,9.9
1357,후부교총,로맨스,"타언언,김아랑",515000,49,834,2015-02-23,2015-02-23,10.0
1358,앙큼한 연두,로맨스,정경하,6182000,7650,82,2025-11-16,2016-09-17,9.9
1359,내가 너를,로맨스,최정화(령후),40000,11,23,2004-04-14,2004-04-14,9.7
1360,이리의 그림자,로맨스,무연,81000,67,60,2015-09-14,2026-09-14,9.4
1361,미친 남주들과 같은 반이 되었다,로맨스,하뮴,7641000,9201,217,2009-02-23,2013-02-24,9.8
1362,연우에서 연우까지,로맨스,은지필,246000,131,52,2029-05-17,2029-05-17,9.8
1363,가유서부,로맨스,요이천하,551000,255,859,2007-04-22,2007-04-22,9.6
1364,마녀가 사랑을 할 때,로맨스,서미선,848000,281,26,2018-04-14,2011-06-14,9.3
