,제목,장르,작가,조회수,댓글,연재수,연재 시작일,최신 연재일,평점
970,특별전형: 입시 서바이벌 게임의 참가자가 되었다,무협,지한결,195000,194,75,2015-11-23,2015-11-23,10.0
971,내 눈에만 보여,무협,온솔이,250000,428,206,2024-07-23,2019-02-24,10.0
972,노 휴먼스 랜드,무협,김정,151000,168,33,2006-07-23,2006-07-23,9.3
973,오만한 자들의 황야 완전판,무협,하지은,23000,26,53,2013-06-23,2013-06-23,9.9
974,모래선혈 완전판,무협,하지은,24000,64,63,2013-06-23,2013-06-23,10.0
975,눈사자와 여름 완전판,무협,하지은,32000,48,76,2013-06-23,2013-06-23,9.6
976,용주는 지금 출장 중,무협,이혜아,304000,421,162,2008-06-23,2013-10-23,9.9
977,월하의 동사무소,무협,전혜진,2895,1,175,2027-04-23,2027-04-23,10.0
978,죽음을 되돌리는 여자,무협,임제인,258000,217,60,2024-03-23,2024-03-23,9.3
979,블러드 문 살인 사건,무협,로부스타,2792,1,100,2010-03-23,2009-04-23,10.0
980,생명의 은인,무협,설경2,2648,5,100,2010-03-23,2028-07-23,10.0
981,괴물 학교 생존기,무협,김몬드,8310,17,158,2010-03-23,2013-10-23,9.5
982,갬성끝판삼국지,무협,오혜성,12000,26,195,2024-02-23,2022-04-23,9.8
983,줍고보니 괴담 백서,무협,윤원,6730,56,187,2026-12-22,2030-03-23,9.6
984,슈퍼 연봉 대전,무협,마이즈,53000,60,123,2023-12-22,2023-12-22,6.9
985,제제헤어쌀롱,무협,벽난로,156000,659,88,2001-11-22,2030-03-23,9.6
986,사람이야 귀신이야?,무협,정필자,2291,25,144,2001-10-22,2015-10-22,10.0
987,폭풍이 쫓아오는 밤,무협,최정원,90000,530,23,2016-09-22,2016-09-22,9.6
988,내 목소리가 들려?,로맨스판타지,감별,6740,18,101,2005-09-22,2005-09-22,10.0
989,행복한 데칼과 불행한 코마니,로맨스판타지,김영서,70000,334,30,2026-08-22,2026-08-22,9.0
990,서울에 집을 샀다,로맨스판타지,녹투아,14000,47,105,2016-08-22,2013-01-23,9.9
991,미남당 : 무속사기단,로맨스판타지,정재한,122000,473,25,2031-07-22,2020-09-22,9.6
992,죽음은 언제나 나의 곁에,로맨스판타지,늑대님,3277,14,150,2022-07-22,2010-08-23,10.0
993,오로라은행 고객서비스센터,로맨스판타지,차은아,243000,1114,110,2007-07-22,2013-10-22,9.9
994,"꿈이라면 진절머리가 납니다만,",로맨스판타지,볼연두,21000,304,100,2004-07-22,2018-11-22,9.9
995,천국에서 온 탐정,로맨스판타지,이동원,1349,5,3,2024-06-22,2024-06-22,10.0
996,금화일기 : 조선소방관,로맨스판타지,써니사이드욥,319000,908,151,2016-06-22,2007-08-22,9.8
997,마스터마인드,로맨스판타지,이성민,1328,3,3,2010-06-22,2010-06-22,10.0
998,결혼환장곡,로맨스판타지,마리앙,24000,610,104,2003-06-22,2028-10-22,9.4
999,강남에 집을 샀어,로맨스판타지,최하나,114000,1038,42,2026-05-22,2026-05-22,9.6
1000,죽음을 삽니다,로맨스판타지,8767,2089,3,100,2025-05-22,2010-10-22,10.0
1001,셔터,로맨스판타지,초점영역,290000,960,102,2011-05-22,2004-10-22,9.7
1002,아래층 강생이 위층 고냉이,로맨스판타지,로부스타,2855,2,102,2009-05-22,2009-07-22,9.7
1003,iD off-마인드 게임,로맨스판타지,녹차백만잔,3674,28,140,2008-04-22,2005-12-22,10.0
1004,채널_영의 시간,로맨스판타지,m현림,365000,1395,103,2031-03-22,2008-08-22,9.9
1005,결사대-죽음을 건,로맨스판타지,SOH,1526,4,127,2025-03-22,2019-06-22,9.7
1006,달집 상담소,로맨스판타지,정서인,644000,5258,126,2011-03-22,2026-09-22,10.0
1007,"소소하게 초인들이 모여서, 소초모!",로맨스판타지,권시우,103000,956,44,2010-03-22,2016-03-22,9.7
1008,달에 사는 삽살개,로맨스판타지,라나인,27,0,4,2007-03-22,2007-03-22,10.0
1009,서로의 만남,로맨스판타지,한빛,991,3,101,2004-03-22,2022-07-22,10.0
1010,SATOR,로맨스판타지,공허,6246,40,160,2028-02-22,2012-08-22,10.0
1011,카페트리와 잘린 목의 손님들,로맨스판타지,에이켄,284000,1172,100,2024-02-22,2017-08-22,9.8
1012,당신의 밤을 나에게 주오,로맨스판타지,유도연,286000,954,98,2011-02-22,2017-02-23,9.9
1013,마음의 발걸음이 나보다 빠르다면,로맨스판타지,외계인,4258,15,169,2003-02-22,2028-11-22,10.0
1014,소울메이커,로맨스판타지,김태라,81000,330,31,2028-01-22,2028-01-22,10.0
1015,부두레코드,로맨스판타지,젊은단테,23000,665,100,2028-01-22,2030-09-22,10.0
1016,화월고서점 요괴수사록,로맨스판타지,제리안,54000,754,30,2021-01-22,2021-01-22,9.0
1017,이무기 : 세상을 수호하는 신,로맨스판타지,이사금,5442,3,100,2007-01-22,2025-05-22,10.0
1018,사랑의 묘약 효과가 종료되었습니다,로맨스판타지,우주나무,427,0,3,2031-12-21,2031-12-21,10.0
1019,춘(春) 봄바람은 향기롭고,로맨스판타지,한돌,42000,319,110,2017-12-21,2018-02-22,9.9
1020,D-7,로맨스판타지,Jibril,2044,9,47,2010-12-21,2010-12-21,10.0
1021,공범자들의 변명,로맨스판타지,이야기,5431,15,100,2019-11-21,2019-12-21,10.0
1022,방문객,로맨스판타지,Tobybao,16000,364,45,2009-11-21,2009-11-21,9.9
1023,오늘은 너를 먹고 싶어,로맨스판타지,2가0,27000,423,109,2002-11-21,2001-02-22,9.7
1024,조폭 냥집사 되다,로맨스판타지,로부스타,221000,747,86,2031-10-21,2015-02-22,9.5
1025,일곱개의 레시피,로맨스판타지,김수정,57000,559,44,2026-10-21,2026-10-21,9.8
1026,무영동 사람들,로맨스판타지,코코아드림,129000,651,75,2020-10-21,2001-04-22,9.4
1027,기담: 이야기를 전하는 자,로맨스,이사금,5950,10,100,2027-09-21,2017-12-21,10.0
1028,우리만 아는 사람들,로맨스,김성호,3288,6,114,2024-09-21,2009-03-22,3.1
1029,괴담 도서관,로맨스,마구로킹,7776,35,123,2024-09-21,2020-12-21,10.0
1030,심부름센터 좋은사람들,로맨스,이수진,71000,456,32,2024-09-21,2024-09-21,9.8
1031,데블스쿨,로맨스,수오,64000,438,35,2006-09-21,2006-09-21,9.8
1032,신의 비늘을 삼킨 소녀,로맨스,김하늬,1995,4,5,2031-08-21,2012-09-21,10.0
1033,SF 정거장,로맨스,"이민섭,유목연,강다연,이정인,이현섭,이채하,이시도,이작연,차물들",76000,408,107,2027-08-21,2010-09-21,9.4
1034,Now Loading,로맨스,수업중필담,3101,118,15,2004-08-21,2004-08-21,10.0
1035,도시괴담: 이름짓는 신의 마을,로맨스,녹차백만잔,530000,1067,100,2025-06-21,2001-10-21,9.6
1036,종말을 막기 위해 황천에서 왔습니다,로맨스,크게 빛나리,952,1,100,2031-05-21,2023-09-21,10.0
1037,별자리 살인마 : 너를 추억한다,로맨스,징구빙구,159000,304,79,2024-05-21,2012-06-21,9.0
1038,괴담 바이러스,로맨스,전건우,509000,1513,80,2013-05-21,2020-08-21,9.7
1039,삼별초,로맨스,"유현종,리지",234000,344,86,2003-05-21,2022-06-21,9.8
1040,기억의 덫,로맨스,마살,3702,21,88,2030-04-21,2012-05-21,10.0
1041,나비 - 지옥에서 돌아온 자,로맨스,PeDe,553,3,2,2003-04-21,2003-04-21,10.0
1042,나는 아이돌입니다,로맨스,샤론,2756,14,25,2012-03-21,2012-03-21,10.0
1043,팩트 피싱,로맨스,잠빛,694,1,2,2028-02-21,2028-02-21,7.4
1044,옥수수밭에 부는 회오리바람,로맨스,노내임,332,14,2,2026-02-21,2026-02-21,10.0
1045,엘리제만을 위하여,로맨스,은잠,652,1,2,2024-02-21,2024-02-21,10.0
1046,뉴 월드,로맨스,박에스더,237,1,2,2022-02-21,2022-02-21,10.0
1047,블랙아웃,로맨스,권혁진,879,2,2,2013-01-21,2013-01-21,10.0
