,제목,장르,작가,지수,현대판타지,판타지,무협,대체역사,퓨전,스포츠,드라마,로맨스,게임,전쟁·밀리터리,일반소설,SF
1,하남자의 탑 공략법,"현대판타지, 퓨전",꾸찌꾸찌,5822600,True,False,False,False,True,False,False,False,False,False,False,False
2,용사의 발라드,판타지,도동파,3560370,False,True,False,False,False,False,False,False,False,False,False,False
3,방구석 저격수.,"현대판타지, 퓨전",캡슐호텔,3078310,True,False,False,False,True,False,False,False,False,False,False,False
4,회귀수선전(回歸修仙傳),"무협, 퓨전",엄청난,2736630,False,False,True,False,True,False,False,False,False,False,False,False
5,범상한 변호사의 아공간,현대판타지,서칸더브이,2565400,True,False,False,False,False,False,False,False,False,False,False,False
6,탑 매니지먼트,현대판타지,장우산,2467890,True,False,False,False,False,False,False,False,False,False,False,False
7,미혼부 AI로 세상을 지배하다,"현대판타지, 퓨전",소보로설,2275260,True,False,False,False,True,False,False,False,False,False,False,False
8,차라리 빌런으로 살겠다,"현대판타지, 드라마",서인하,1983970,True,False,False,False,False,False,True,False,False,False,False,False
9,이상적 연출생활백서,"현대판타지, 드라마",자경(蔗境),1860720,True,False,False,False,False,False,True,False,False,False,False,False
10,약먹는 천재마법사,"현대판타지, 판타지",글근육,1788810,True,True,False,False,False,False,False,False,False,False,False,False
11,"로큰롤, 발 없는 새가 되다","현대판타지, 판타지",경우勁雨,1541880,True,True,False,False,False,False,False,False,False,False,False,False
12,북부 대공의 미친 데릴사위,"판타지, 퓨전",곰돌이는,1468270,False,True,False,False,True,False,False,False,False,False,False,False
13,화약고 제국의 천재 대공,"대체역사, 판타지",시작의바다,1440240,False,True,False,True,False,False,False,False,False,False,False,False
14,세상에 나쁜 영애는 없다,"판타지, 로맨스",코리타,1386050,False,True,False,False,False,False,False,True,False,False,False,False
15,시간을 달리는 소설가,"현대판타지, 판타지",피아조아,1360760,True,True,False,False,False,False,False,False,False,False,False,False
16,아포칼립스에 집을 숨김,"현대판타지, 퓨전",로드워리어,1339810,True,False,False,False,True,False,False,False,False,False,False,False
17,호콴의 도서관,"판타지, 퓨전",쿠우울,1321470,False,True,False,False,True,False,False,False,False,False,False,False
18,EX급 절대반지를 얻었다,"퓨전, 현대판타지",김현준™,1282800,True,False,False,False,True,False,False,False,False,False,False,False
19,블랙기업조선,"대체역사, 퓨전",국뽕,1279920,False,False,False,True,True,False,False,False,False,False,False,False
20,글러먹은 빙의,"퓨전, 판타지",목마,1237490,False,True,False,False,True,False,False,False,False,False,False,False
21,회사원이 너무 강함,"현대판타지, 스포츠",블루티풀,1178710,True,False,False,False,False,True,False,False,False,False,False,False
22,화학천재의 비밀 투자 공식,"현대판타지, 판타지",율려(律呂),1146330,True,True,False,False,False,False,False,False,False,False,False,False
23,웰컴 투 NBA,"스포츠, 현대판타지",필리포스,1084610,True,False,False,False,False,True,False,False,False,False,False,False
24,삼국지 : 내가 영웅의 그릇인가.,"대체역사, 퓨전",엠보돌,1079100,False,False,False,True,True,False,False,False,False,False,False,False
25,공물 바치고 대마법사,"판타지, 퓨전",낭선,1041100,False,True,False,False,True,False,False,False,False,False,False,False
26,탐관오리가 상태창을 숨김,"대체역사, 퓨전",코락스,1025610,False,False,False,True,True,False,False,False,False,False,False,False
27,EX급 창고를 얻었다,"판타지, 게임",한손검,1020990,False,True,False,False,False,False,False,False,True,False,False,False
28,슈팅 궤적이 다 보임,"스포츠, 현대판타지",닥터암,1012580,True,False,False,False,False,True,False,False,False,False,False,False
29,러스트 [ RUST ],"현대판타지,판타지",글라딘,1008040,True,True,False,False,False,False,False,False,False,False,False,False
30,회귀했는데 세상이 안 망함,"현대판타지,판타지",선우(仙宇),948290,True,True,False,False,False,False,False,False,False,False,False,False
31,내 조선에 세종은 없다,"대체역사,퓨전",핏콩,945200,False,False,False,True,True,False,False,False,False,False,False,False
32,방출당한 투수가 금강불괴로 돌아옴,"스포츠,현대판타지",단팥빵소년,938700,True,False,False,False,False,True,False,False,False,False,False,False
33,미궁 속 천재공학자,"퓨전,현대판타지",병장개미,935760,True,False,False,False,True,False,False,False,False,False,False,False
34,조선에는 쿠데타가 필요해요,"대체역사,전쟁·밀리터리",앙금고라니,905770,False,False,False,True,False,False,False,False,False,True,False,False
35,턴제의 마법사,"판타지,퓨전",정따블,889460,False,True,False,False,True,False,False,False,False,False,False,False
36,전능의 혀를 얻었다,"현대판타지,판타지",몽쉐르,885100,True,True,False,False,False,False,False,False,False,False,False,False
37,고귀한 헌터로 착각당했다,"퓨전,현대판타지",글포터,869980,True,False,False,False,True,False,False,False,False,False,False,False
38,신입사원의 부업이 재벌 3세 친구다,"현대판타지,판타지",꿈가득남,866610,True,True,False,False,False,False,False,False,False,False,False,False
39,시장통 맛침명의 재벌처가 씹어먹다,"판타지,현대판타지",가프,866000,True,True,False,False,False,False,False,False,False,False,False,False
40,세계권력급 아공간 헌터,현대판타지,슬리버,864330,True,False,False,False,False,False,False,False,False,False,False,False
41,당문전,무협,제이허빈,851750,False,False,True,False,False,False,False,False,False,False,False,False
42,천만년만에 귀환한 무신님,"퓨전,현대판타지",맛깔란,797950,True,False,False,False,True,False,False,False,False,False,False,False
43,무한전생-아서 허트,"판타지,퓨전",광악,795970,False,True,False,False,True,False,False,False,False,False,False,False
44,121세기에서 살아남기,판타지,컵라면.,789790,False,True,False,False,False,False,False,False,False,False,False,False
45,회귀자 생활백서(回歸者 生活白書),"무협,판타지",넉울히,781810,False,True,True,False,False,False,False,False,False,False,False,False
46,축구부 방출 후 천재 투수가 되었다,"스포츠,현대판타지",유선강,756640,True,False,False,False,False,True,False,False,False,False,False,False
47,전천후 연예생활백서,"현대판타지,드라마",자경(蔗境),750470,True,False,False,False,False,False,True,False,False,False,False,False
48,내 분신이 거물이 되어간다,"판타지,현대판타지",실험샘플,743650,True,True,False,False,False,False,False,False,False,False,False,False
49,은퇴한 헌터의 아포칼립스,"현대판타지,게임",디다트,738210,True,False,False,False,False,False,False,False,True,False,False,False
50,탑스타의 남동생이 되었다,"현대판타지,퓨전",운좋은놈,719820,True,False,False,False,True,False,False,False,False,False,False,False
51,절대독공으로 SSS급 헌터,"현대판타지,퓨전",차성,714700,True,False,False,False,True,False,False,False,False,False,False,False
52,파브르 in 사천당가,"무협,퓨전",에르훗,690410,False,False,True,False,True,False,False,False,False,False,False,False
53,미국 레트로 소설가가 되었다.,"현대판타지,판타지",뇌조,678250,True,True,False,False,False,False,False,False,False,False,False,False
54,동로마 황녀가 내 아이를 임신하셨다,대체역사,열이틀,677170,False,False,False,True,False,False,False,False,False,False,False,False
55,회귀한 재벌은 미국을 사기로했다,"판타지,현대판타지",연태량,672020,True,True,False,False,False,False,False,False,False,False,False,False
56,괴물 천재선수들이 날 너무 좋아함,"스포츠,현대판타지",혜인태,651760,True,False,False,False,False,True,False,False,False,False,False,False
57,메디치 가문의 사생아가 너무 유능함,"대체역사,현대판타지",르클레르,651760,True,False,False,True,False,False,False,False,False,False,False,False
58,알바생이 요리를 너무 잘함,"현대판타지,판타지",윤재.,640100,True,True,False,False,False,False,False,False,False,False,False,False
59,내 수익률 무한!,"현대판타지,판타지",혁이.,637110,True,True,False,False,False,False,False,False,False,False,False,False
60,조선왕자가 미국갔다 안 돌아옴,"대체역사,퓨전",누텔라.,619320,False,False,False,True,True,False,False,False,False,False,False,False
61,방구석 음악 천재.,"현대판타지,드라마",시하,618880,True,False,False,False,False,False,True,False,False,False,False,False
62,축구천재로 오해받는 중입니다,"스포츠,현대판타지",한명현,607070,True,False,False,False,False,True,False,False,False,False,False,False
63,1970 중정 요원은 핵이 필요합니다,"대체역사,판타지",정사부,601540,False,True,False,True,False,False,False,False,False,False,False,False
64,은퇴 코더가 빅테크를 사버림,"현대판타지,판타지",SOKIN,596810,True,True,False,False,False,False,False,False,False,False,False,False
65,충무공의 아들이 되었다,"대체역사,전쟁·밀리터리",보헤미아.,596180,False,False,False,True,False,False,False,False,False,True,False,False
66,천재 배우 복귀했습니다,"현대판타지,드라마",나일함,593970,True,False,False,False,False,False,True,False,False,False,False,False
67,대영제국에서 작가로 살아남기,"대체역사,퓨전",고스름도치,589920,False,False,False,True,True,False,False,False,False,False,False,False
68,회귀한 김에 아이돌 때려칩니다,"현대판타지,로맨스",엔터키뽑,587910,True,False,False,False,False,False,False,True,False,False,False,False
69,칭찬스티커 받는 단종,"대체역사,드라마",문환,586200,False,False,False,True,False,False,True,False,False,False,False,False
70,재벌집 만렙 아들,"현대판타지,드라마",오소록,585960,True,False,False,False,False,False,True,False,False,False,False,False
71,미국 재벌3세는 천재였다,"현대판타지,대체역사",글라탕,571750,True,False,False,True,False,False,False,False,False,False,False,False
72,케이팝 씹어먹는 천재 작곡가,"현대판타지,드라마",이신유,570030,True,False,False,False,False,False,True,False,False,False,False,False
73,돈과 재능이 쏟아져,"현대판타지,퓨전",더페이서,569960,True,False,False,False,True,False,False,False,False,False,False,False
74,특성 쌓는 김전사,"현대판타지,퓨전",산호초,569490,True,False,False,False,True,False,False,False,False,False,False,False
75,사도세자는 편하게 살고 싶다,대체역사,까다롭스키,564700,False,False,False,True,False,False,False,False,False,False,False,False
76,제국 경비대의 망나니 소드마스터,"판타지,퓨전",사탕꽃,562220,False,True,False,False,True,False,False,False,False,False,False,False
77,겨우 강해졌는데 회귀해버림,"현대판타지,퓨전",수국칼,561370,True,False,False,False,True,False,False,False,False,False,False,False
