	제목	장르	작가	지수	장르1	장르2
87	귀농한 무한서고의 주인이 꿀빠는 법	판타지,퓨전	[세인토]	495000	판타지	퓨전
88	MLB 천재들이 방출 포수를 너무 좋아함	스포츠,현대판타지	에필로거	491500	스포츠	현대판타지
89	낙하산이 그렇게 일을 잘한다고?	현대판타지	파셔	486760	현대판타지	
90	내 마법만 레벨업	판타지,퓨전	해무극	486120	판타지	퓨전
91	억만장자가 된 미전실의 사냥개	현대판타지,드라마	홈스탠바이	484340	현대판타지	드라마
92	망겜의 시체줍는 천재전사	판타지,게임	코라멜.	479480	판타지	게임
93	천재 배우 복귀했습니다	현대판타지,드라마	나일함	466680	현대판타지	드라마
94	내 수익률 무한!	현대판타지,판타지	혁이.	465430	현대판타지	판타지
95	전지적 독자 시점	현대판타지,판타지	싱숑	464850	현대판타지	판타지
96	치명적인 남자, 어게인 라이프!	현대판타지,드라마	울프21	461030	현대판타지	드라마
97	조선, 혁명의 시대	대체역사	태사령	460450	대체역사	
98	말단 병사가 너무 강함	판타지,퓨전	글택	456920	판타지	퓨전
99	작곡천재의 멜로디	현대판타지,드라마	나일함	453030	현대판타지	드라마
100	귀농했는데 아포칼립스 터졌다	현대판타지,판타지	버머랜드	449860	현대판타지	판타지
101	을미년, 민비 대신 고종이 죽었다	대체역사	이그드라시	448110	대체역사	
102	고아인데 마법천재	판타지	찬동	446210	판타지	
103	괴물 음악천재가 되어 돌아왔다	현대판타지	츠로프	439060	현대판타지	
104	우주 무기가 너무 강함	현대판타지,판타지	계란탁	434140	현대판타지	판타지
105	풍요의 여신과 천재 망나니 사도님	판타지,퓨전	곰산타	433690	판타지	퓨전
106	재벌 3세는 조용히 살고 싶다	현대판타지	SSDHDD	432830	현대판타지	
107	0살부터 슈퍼스타	현대판타지,퓨전	북그곰	432520	현대판타지	퓨전
108	1979 김부장이 독재를 계승 중입니다!	현대판타지,대체역사	아아연하게	430880	현대판타지	대체역사
109	메디치 가문의 사생아가 너무 유능함	대체역사,현대판타지	르클레르	427770	대체역사	현대판타지
110	S급 용병의 슬기로운 사회생활	현대판타지	한준솔봄	425430	현대판타지	
111	기적을 빚는 도예가	현대판타지,판타지	노델	421840	현대판타지	판타지
112	황금 귀의 프로듀서	현대판타지,퓨전	무적푸딩	421380	현대판타지	퓨전
113	파혼 후 역대급 투자 천재	현대판타지,퓨전	단골손놈	417590	현대판타지	퓨전
114	탑스타의 남동생이 되었다	현대판타지,퓨전	운좋은놈	413110	현대판타지	퓨전
115	돈과 재능이 쏟아져	현대판타지,퓨전	더페이서	413040	현대판타지	퓨전
116	돌팔이 의사 자크 지라르	판타지,퓨전	담하이데	409690	판타지	퓨전
117	재벌가에 천재가 입양 되었다	현대판타지,판타지	꿈가득남	403300	현대판타지	판타지
118	괴력 난신(怪力 亂神)	무협,판타지	한중월야	401810	무협	판타지
119	낭만재벌 김민식	현대판타지,판타지	오정	401440	현대판타지	판타지
120	귀농했더니 국가급 거물 후배들이 몰려든다	현대판타지,판타지	아길론™	393620	현대판타지	판타지
121	역대급 라이프 스타일	현대판타지,판타지	에쮸드	392630	현대판타지	판타지
122	혈귀무쌍	무협,판타지	강민성	390450	무협	판타지
123	폐급 배우가 상태창을 숨김	현대판타지	papapa.	387530	현대판타지	
124	존버했더니 제국권력급 스승을 얻었다	현대판타지,퓨전	05林	387290	현대판타지	퓨전
125	재능빨로 FA 천억 포수!	스포츠,현대판타지	페디아	383860	스포츠	현대판타지
126	아포칼립스의 유일한 흑마법사가 되었다	현대판타지,퓨전	BELF	382630	현대판타지	퓨전
127	총통님 미국 가신다!	대체역사,현대판타지	민초냥이	378160	대체역사	현대판타지
128	몽골조선의 천재 데릴사위가 되었다	대체역사,퓨전	기신	376340	대체역사	퓨전
129	근력 만렙 중세인	판타지,퓨전	련습	373710	판타지	퓨전
130	서울역 세종대왕	대체역사,현대판타지	구사(龜沙)	373540	대체역사	현대판타지
131	1988 레트로 게임 재벌	현대판타지	Guybrush	371680	현대판타지	
132	천재 흑마법사	판타지	노란커피	369310	판타지	
133	짜장 한 그릇에 제갈세가 데릴사위	무협,퓨전	에르훗	366850	무협	퓨전
134	스킬진화로 빌런 응징	현대판타지,판타지	라팜팜	366600	현대판타지	판타지
135	마갑을 만드는 천재마법사	판타지	레드풋	365520	판타지	
136	변경의 죄수는 검성을 꿈꾼다	판타지	Cadilet	363330	판타지	
137	전생에 모네 친구였던 재벌집 망나니	현대판타지,판타지	폭팡	361750	현대판타지	판타지
138	수비천재가 3점을 폭격함	스포츠,현대판타지	코다	361240	스포츠	현대판타지
139	중세 불꽃의 기사로 살아남기	판타지,퓨전	포더엠	359910	판타지	퓨전
140	이동 요새로 아포칼립스 살아남기	판타지,현대판타지	스타퍼	359580	판타지	현대판타지
141	F급 헌터가 우주전함을 키움	현대판타지,퓨전	이나르™	354590	현대판타지	퓨전
142	빌보드 1위로 시작하는 작곡생활	현대판타지,드라마	바사라단	353590	현대판타지	드라마
143	회귀한 복학생이 건축 명문대 만듦	현대판타지,판타지	방구석리	352540	현대판타지	판타지
144	명문고 EX급 조연의 리플레이	현대판타지,게임	기월월	347650	현대판타지	게임
145	중소기업 신입사원 이현준	현대판타지,판타지	혁이.	345870	현대판타지	판타지
146	조선에서 인간병기로 살아가는 법	퓨전,대체역사	담배맛젤리	343530	퓨전	대체역사
147	버림받은 재벌 서자의 성공 라이프	현대판타지,판타지	새가람	342460	현대판타지	판타지
148	신입사원이 미쳐 날뜀	현대판타지,드라마	드렁큰댕댕	342370	현대판타지	드라마
149	똥손 재벌 3세 회귀하다	현대판타지,대체역사	Primus	342280	현대판타지	대체역사
150	환생한 음악천재가 재능을 못 숨김	현대판타지	아몬드빵	340800	현대판타지	
151	격랑을 누르는 검	무협	백연™	339890	무협	
152	열혈 인생	현대판타지	동쪽사람	338960	현대판타지	
153	불행을 보는 재벌집 손자	현대판타지	유재무	338780	현대판타지	
154	카이저가 칼들고 협박함	대체역사,전쟁·밀리터리	I알자스I	336320	대체역사	전쟁·밀리터리
155	은퇴한 헌터는 세계수를 주웠다	현대판타지,판타지	콜레오	332440	현대판타지	판타지
156	미친 천재작가가 돌아왔다	현대판타지,드라마	피자소주	330430	현대판타지	드라마
157	AI 나노봇으로 농사를 딸깍	현대판타지	따상	326090	현대판타지	
158	무인도 힐링 라이프를 꿈꿨는데 대박집 사장님이 되었다!	현대판타지	R렉스	324360	현대판타지	
159	시한부 천재가 살아남는 법	무협,퓨전	청시소	323760	무협	퓨전
160	전생에 미켈란젤로였다	현대판타지,드라마	4분	323040	현대판타지	드라마
161	환생신의	무협,퓨전	미루하	322250	무협	퓨전
162	미국 로또로 역대급 재벌!	판타지,현대판타지	강바기	319680	판타지	현대판타지
163	퓨전펑크의 전생자	판타지,퓨전	쫄면에삼겹	314540	판타지	퓨전
164	내 안에 AI가 들어왔다	현대판타지	장경의꿈	314390	현대판타지	
165	이 독일은 총통이 필요해요	대체역사,현대판타지	명원(命元)	308770	대체역사	현대판타지
166	신의 마력을 가졌다	판타지	오늘오후에	307580	판타지	
167	환생했더니 단종의 보모나인	대체역사,퓨전	윤인수	306660	대체역사	퓨전
168	투수가 딸깍함!	스포츠,현대판타지	엉심킬러	306550	스포츠	현대판타지
169	여행 중에 아이가 생겼다.	현대판타지	소설마표	305710	현대판타지	
170	무림 속 공무원으로 살아가는 법	무협,퓨전	글쓰는기계	305620	무협	퓨전
171	야만전사의 게임방송	현대판타지,판타지	냐타드코코	302800	현대판타지	판타지
172	신화 속 양치기 노예가 되었다.	판타지,대체역사	간다왼쪽	302620	판타지	대체역사
173	트립한국 1933 호주에서 시작하다	대체역사,현대판타지	적운창	302270	대체역사	현대판타지
174	대뜸 착각당했다 괴물 천재배우로	현대판타지,판타지	장탄	300120	현대판타지	판타지
175	아차원을 가진 전생자	판타지,퓨전	길마	299580	판타지	퓨전
176	임기 첫날에 게이트가 열렸다	현대판타지,판타지	피아조아	297250	현대판타지	판타지
177	불꽃의 기사	판타지,퓨전	도동파	296350	판타지	퓨전
178	고인물의 스킬이 너무 화려하다	퓨전,판타지	광산김가	293510	퓨전	판타지
179	회귀한 매니저가 인성을 고침	현대판타지,퓨전	쿠쿠하스	292890	현대판타지	퓨전
180	카이저를 구했다	대체역사,전쟁·밀리터리	레니비	286830	대체역사	전쟁·밀리터리
181	멕시코 제국 황태자가 되었다	대체역사,판타지	폭우(暴雨)	283780	대체역사	판타지
182	막내피디가 천재작가였다	현대판타지,퓨전	글맛	283080	현대판타지	퓨전
183	말단병사에서 군주까지	판타지,퓨전	소울풍	278080	판타지	퓨전
184	신대륙의 제왕	판타지,퓨전	Rovin	277100	판타지	퓨전
185	검은머리 미군 대원수	대체역사,현대판타지	명원(命元)	275360	대체역사	현대판타지
186	괴물급 천재 작가들이 날 너무 좋아함	현대판타지,판타지	shoro	273900	현대판타지	판타지
187	특이점으로 압도한다	판타지,현대판타지	우명(牛鳴)	272500	판타지	현대판타지
188	역천무림	무협	라바테라	271990	무협	
189	나 혼자 탑에서 농사	현대판타지,퓨전	sdcknight	268920	현대판타지	퓨전
190	서부의 합법적 핵쟁이가 되었다	현대판타지,판타지	배뿌	268400	현대판타지	판타지
191	나의 조선에 유교는 필요없다	대체역사,판타지	정동갑제	268310	대체역사	판타지
192	탑 미발견 지역에서 꿀 빱니다	판타지,퓨전	2차자아	267930	판타지	퓨전
193	방출된 축구천재의 재능폭발	스포츠,현대판타지	탈주병	264700	스포츠	현대판타지
194	서부로 간 검은머리 용병	대체역사,퓨전	노오력.	262810	대체역사	퓨전
195	빙하기 아포칼립스의 회사원	현대판타지,퓨전	희나리T	262780	현대판타지	퓨전
196	내 회귀에 빌런은 없다	현대판타지,퓨전	1인5역	262220	현대판타지	퓨전
197	테니스 코트 위의 절대자	스포츠,일반소설	김군0619	260990	스포츠	일반소설
198	무신들의 단톡방에 초대되었다	무협,퓨전	엉끼	258530	무협	퓨전
199	검신환생	무협,판타지	정석연재	257630	무협	판타지
200	천마님 안마하신다	현대판타지,퓨전	레빗토끼	254940	현대판타지	퓨전
