	제목	장르	작가	장르1	장르2
47	국가권력급 헌터가 미국으로 이민감	현대판타지,판타지	재즈소울	현대판타지	판타지
48	이혼 후 우주전함을 줍다	현대판타지,퓨전	침략자	현대판타지	퓨전
49	어쩌다 만능 채집꾼으로 각성함?	현대판타지	현연	현대판타지	
50	레벨 1,635,256,739 유산을 얻었다	판타지,현대판타지	앤비즈	판타지	현대판타지
51	천재 아이돌이 작곡을 잘함	현대판타지,판타지	원즈이	현대판타지	판타지
52	신화급 아이템을 뽑았다	판타지,퓨전	백야필담	판타지	퓨전
53	아포칼립스의 무한쉘터	현대판타지,판타지	화가많은	현대판타지	판타지
54	조선화력공사	대체역사,전쟁·밀리터리	영협	대체역사	전쟁·밀리터리
55	역대급 뱀직구로 슈퍼에이스!	스포츠,현대판타지	율운	스포츠	현대판타지
56	톱스타의 오빠가 작곡 천재였다	현대판타지,드라마	설과연	현대판타지	드라마
57	불세출의 천재작가, 고딩 됐다.	현대판타지	기회	현대판타지	
58	EX급 특성으로 중세 기사로 살아남기	판타지,퓨전	포더엠	판타지	퓨전
59	악업 쌓고 레벨업	판타지	무영자	판타지	
60	천조국 건스미스가 되었다	대체역사,전쟁·밀리터리	[서평]	대체역사	전쟁·밀리터리
61	신의 능력을 얻었다	현대판타지,판타지	의향도	현대판타지	판타지
62	즉사 권능으로 신의 사도가 되었다	대체역사,판타지	폭식마왕	대체역사	판타지
63	아포칼립스의 루팅능력자	현대판타지,퓨전	소는음메	현대판타지	퓨전
64	다시 사는 재벌집 망나니	현대판타지,판타지	피리홍	현대판타지	판타지
65	1,964,325,645개의 뼈를 얻었다.	현대판타지	킴호놀	현대판타지	
66	오파츠가 내 몸에 깃들었다	현대판타지,퓨전	새둥이	현대판타지	퓨전
67	1971 독재자 박통이 되었다	대체역사,현대판타지	Zeta.	대체역사	현대판타지
68	무한내공으로 시작하는 강호 정복기	무협,퓨전	고요섬	무협	퓨전
69	죽은 자의 기억으로 sss급 되기	현대판타지,판타지	영완(映完)	현대판타지	판타지
70	천재 아기는 전생을 다 기억함	현대판타지,판타지	정곡	현대판타지	판타지
71	천마삼촌의 인맥이 심상치않음	현대판타지,퓨전	버스트다운	현대판타지	퓨전
72	이세계 마법사가 농사를 잘 지음	판타지,퓨전	이디즈	판타지	퓨전
73	천마 용사의 이세계 힐링 라이프	퓨전,판타지	노빠꾸맨	퓨전	판타지
74	빵셔틀이 회귀해서 재벌 삼킴	현대판타지,드라마	어썸.	현대판타지	드라마
75	북부 전선의 미친 네크로맨서	판타지,퓨전	글철인	판타지	퓨전
76	폭군인데 나라가 부국강병함	대체역사,판타지	뚱보고양이	대체역사	판타지
77	만렙환생	무협,퓨전	태영(太影)	무협	퓨전
78	알프스 산맥의 제왕	판타지,대체역사	삼둘	판타지	대체역사
79	천재작가는 작품의 미래를 본다	현대판타지,퓨전	주딩크	현대판타지	퓨전
80	마나 무한으로 초월급 플레이어	현대판타지,판타지	블럭통통	현대판타지	판타지
81	이혼 후 160km를 던지게 되었다	스포츠,퓨전	로웰크란	스포츠	퓨전
82	거물 연예인들이 집착하는 괴물 신입 매니저	판타지,현대판타지	흠박	판타지	현대판타지
83	케이팝 생태계 교란종이 되었다	현대판타지,판타지	쥬운	현대판타지	판타지
84	아포칼립스의 쉘터 사냥꾼	퓨전,현대판타지	삼동	퓨전	현대판타지
85	무공으로 내 인생 만만세!	현대판타지,무협	HBF	현대판타지	무협
86	이마의 글자가 보인다	현대판타지	불량집사	현대판타지	
87	삼국지, 천하제일미인을 마누라로 둔 남자 (원희전)	대체역사,판타지	신유(愼惟)	대체역사	판타지
88	투수가 강속구를 아낌	스포츠,현대판타지	온필수	스포츠	현대판타지
