,제목,장르,작가,연재 시작일,마지막 연재일,회수,댓글수,추천수,평점,무협,현판,로판,판타지,로맨스
0,화산귀환,무협,비가,2019-04-25,2024-06-21,1737,1279634,18135,9.2,True,False,False,False,False
1,등선하는 무공 천재,무협,무동이,2024-05-07,2024-06-25,112,541,8,9.6,True,False,False,False,False
2,농어촌 에이스,현판,이블라인,2024-05-07,2024-06-24,102,2802,42,9.6,False,True,False,False,False
3,대기업 말이 일을 잘함,현판,동면거북이,2023-06-13,2024-06-24,371,8192,101,9.7,False,True,False,False,False
4,"꿇어보세요, 대공님!",로판,재겸,2024-06-24,2024-06-25,86,115,13,9.7,False,False,True,False,False
5,환생천마,무협,장영훈,2017-04-03,2017-09-27,300,8920,880,9.6,True,False,False,False,False
6,게임 속 바바리안으로 살아남기,판타지,정윤강,2021-03-31,2024-06-25,734,170761,1534,9.4,False,False,False,True,False
7,멜팅 슬로우,로맨스,이른꽃,2023-02-07,2023-04-01,92,3922,101,9.8,False,False,False,False,True
8,뒤바뀐 신부,로판,사라유,2024-06-21,2024-06-21,109,158,3,7.8,False,False,True,False,False
9,"고양이인데, 늑대 가문에 입양당했다?",로판,윤달(YounDal),2020-12-16,2022-03-04,165,2452,54,9.5,False,False,True,False,False
10,오늘만 사는 기사,판타지,소울풍,2023-02-14,2024-06-25,463,22509,323,9.8,False,False,False,True,False
11,임신한 척했는데 남편이 돌아왔다,로판,별별토,2024-06-18,2024-06-22,84,783,28,9.7,False,False,True,False,False
12,사천의 가주,무협,codezero,2023-12-26,2024-06-24,253,1906,28,9.2,True,False,False,False,False
13,절대회귀,무협,장영훈,2022-10-19,2024-06-24,449,50736,601,9.8,True,False,False,False,False
14,하녀와의 계약결혼,로판,달새울,2021-09-02,2024-06-21,295,11810,327,9.9,False,False,True,False,False
15,차가운 재회,로맨스,은세리,2024-06-21,2024-06-21,73,37,1,8.3,False,False,False,False,True
16,그 남자를 주웠다,로맨스,하빕티,2024-06-21,2024-06-21,65,560,0,9.9,False,False,False,False,True
17,2레벨로 회귀한 무신,판타지,염비,2024-05-27,2024-05-27,671,1517,11,9.4,False,False,False,True,False
18,북부 대공의 미친 데릴사위,판타지,곰돌이는,2024-04-21,2024-06-24,180,4296,56,9.7,False,False,False,True,False
19,하남자의 탑 공략법,판타지,꾸찌꾸찌,2024-06-16,2024-06-25,124,1318,13,9.3,False,False,False,True,False
20,전지적 자 시,현판,싱숑,2018-05-21,2024-06-24,766,815770,20454,9.9,False,True,False,False,False
21,전생이 천재였다,현판,나일함,2021-07-20,2022-06-30,320,8383,110,9.8,False,True,False,False,False
22,날 닮은 아이,로맨스,플아다,2021-05-01,2022-03-16,183,16004,837,9.9,False,False,False,False,True
23,영업 천재가 되었다,현판,댄킴,2021-01-05,2021-09-03,265,5583,128,9.9,False,True,False,False,False
24,괴력 난신(怪力 亂神),무협,한중월야,2021-11-19,2023-07-25,527,22300,260,9.7,True,False,False,False,False
25,시그리드,로판,시야,2022-06-07,2022-06-07,163,674,12,9.6,False,False,True,False,False
26,던전을 그리는 화가,현판,취미글주의,2024-01-16,2024-06-24,210,10895,62,9.9,False,True,False,False,False
27,차라리 빌런으로 살겠다,현판,서인하,2024-06-20,2024-06-25,127,469,9,9.6,False,True,False,False,False
28,스무 살의 신부,로맨스,아슈크림,2023-04-05,2024-03-25,104,3332,26,9.7,False,False,False,False,True
29,아포칼립스에 집을 숨김,현판,로드워리어,2023-04-17,2024-06-24,466,28356,238,9.5,False,True,False,False,False
30,재벌집 만렙 아들,현판,오소록,2023-02-03,2024-06-24,436,7426,70,9.6,False,True,False,False,False
31,회귀한 공작가의 막내도련님은 암살자 개정판,판타지,커피라임,2023-10-07,2024-06-25,430,1617,83,9.3,False,False,False,True,False
32,전직용병 재벌서자,현판,꾼밤,2023-10-24,2024-06-25,285,2153,28,9.1,False,True,False,False,False
33,광룡이계전생,판타지,시준,2023-02-14,2024-06-25,472,4084,19,8.8,False,False,False,True,False
34,회귀수선전(回歸修仙傳),무협,엄청난,2023-06-05,2024-06-24,513,50090,348,9.6,True,False,False,False,False
35,파티에서 추방된 영웅이 너무 뛰어남,현판,블루클리프,2022-05-04,2023-08-04,416,4712,30,8.7,False,True,False,False,False
36,회귀자 생활백서(回歸者 生活白書),무협,넉울히,2024-05-23,2024-06-24,158,1541,12,9.2,True,False,False,False,False
37,사이코,로맨스,문정민,2024-06-12,2024-06-12,74,98,5,9.8,False,False,False,False,True
